siteid,sitename,datacreationdate,aqi,status,level_0,co,index,no,no2,o3,pm10,pm2.5,so2
43,Xinying,2024-05-31 03:00,19,Good,212.0,0.25,212.0,0.9,2.6,19.8,17.0,0.0,0.3
42,Chiayi,2024-05-31 03:00,19,Good,213.0,0.18,213.0,1.2,1.1,21.9,15.0,2.0,1.4
41,Taixi,2024-05-31 03:00,19,Good,214.0,0.11,214.0,1.3,3.8,20.6,17.0,3.0,1.4
40,Puzi,2024-05-31 03:00,17,Good,215.0,0.24,215.0,3.1,4.0,18.7,17.0,,1.1
39,Xingang,2024-05-31 03:00,22,Good,216.0,0.14,216.0,1.9,2.4,22.4,14.0,5.0,0.8
38,Lunbei,2024-05-31 03:00,20,Good,217.0,0.16,217.0,1.6,1.7,20.6,9.0,5.0,1.1
37,Douliu,2024-05-31 03:00,23,Good,218.0,0.21,218.0,1.8,7.9,7.5,10.0,5.0,1.6
36,Nantou,2024-05-31 03:00,28,Good,219.0,0.18,219.0,1.6,4.8,4.8,14.0,4.0,0.5
35,Erlin,2024-05-31 03:00,44,Good,220.0,0.14,220.0,1.8,7.3,11.7,17.0,13.0,0.9
34,Xianxi,2024-05-31 03:00,28,Good,221.0,0.18,221.0,1.6,9.1,4.3,20.0,8.0,1.3
33,Changhua,2024-05-31 03:00,23,Good,222.0,0.21,222.0,1.8,5.1,16.2,30.0,3.0,0.5
32,Xitun,2024-05-31 03:00,30,Good,223.0,0.18,223.0,0.9,6.5,6.8,28.0,8.0,1.2
31,Zhongming,2024-05-31 03:00,26,Good,224.0,0.28,224.0,1.3,6.5,6.2,23.0,9.0,1.3
30,Dali,2024-05-31 03:00,31,Good,225.0,0.35,225.0,1.1,4.6,8.8,21.0,3.0,1.8
29,Shalu,2024-05-31 03:00,26,Good,226.0,0.27,226.0,0.5,6.2,18.0,34.0,6.0,1.5
28,Fengyuan,2024-05-31 03:00,19,Good,227.0,0.27,227.0,2.5,3.6,19.6,24.0,2.0,0.9
27,Sanyi,2024-05-31 03:00,24,Good,228.0,0.25,228.0,1.3,1.5,20.1,36.0,4.0,1.4
