siteid,sitename,datacreationdate,aqi,status,pm2.5,pm10,o3,co,no2,no,so2
11,Shilin,2024-05-30 21:00,42,Good,14,24,13.5,0.37,25.4,0.8,1.2
10,Tamsui,2024-05-30 21:00,38,Good,14,28,12,0.36,23.5,1.3,2.3
9,Linkou,2024-05-30 21:00,37,Good,12,15,25.5,0.36,22.7,8,2.5
8,Cailiao,2024-05-30 21:00,32,Good,10,15,29.5,0.39,17.1,0.9,1.2
7,Xinzhuang,2024-05-30 21:00,35,Good,14,15,26.5,0.44,19.6,0.3,1.6
6,Banqiao,2024-05-30 21:00,38,Good,18,26,21.8,0.55,23.5,0.9,2.9
5,Tucheng,2024-05-30 21:00,57,Moderate,18,27,5.5,0.56,31.9,2.6,1.1
4,Xindian,2024-05-30 21:00,32,Good,12,12,13.1,0.36,11.1,2.8,0.7
3,Wanli,2024-05-30 21:00,31,Good,4,12,10.4,0.23,5.7,1.7,0.1
2,Xizhi,2024-05-30 21:00,43,Good,11,22,2.7,0.63,26.4,15.1,1
1,Keelung,2024-05-30 21:00,28,Good,11,24,2.4,0.58,17.3,6.3,1.3
313,Pingtung（fangshan）,2024-05-30 20:00,32,Good,4,17,30.6,0.11,4.5,0.1,0.1
312,Taichung（Rilana Elementary）,2024-05-30 20:00,45,Good,10,34,38.1,0.04,5.7,0.2,0.3
311,New Taipei(Shulin),2024-05-30 20:00,54,Moderate,18,31,8.4,0.55,35.1,3.8,1.8
204,Pingtung（Liuqiu）,2024-05-30 20:00,28,Good,7,14,29.6,0.08,1.4,1.3,0.6
203,Tainan（Madou）,2024-05-30 20:00,29,Good,10,21,20.1,0.2,10.5,1.3,0.3
202,Kaohsiung（Hunei）,2024-05-30 20:00,21,Good,4,15,15.1,0.27,11.7,2,0.6
201,Changhua（Yuanlin）,2024-05-30 20:00,42,Good,10,30,27.7,0.36,10.6,1.1,1.9
85,Dacheng,2024-05-30 20:00,46,Good,5,13,27.7,0.1,4.7,0.6,0.7
84,FugueiCape,2024-05-30 20:00,41,Good,8,27,31.1,0.15,8.3,0.2,0.3
83,Mailiao,2024-05-30 20:00,41,Good,7,16,23.2,0.2,5.7,0.4,1
80,Guanshan,2024-05-30 20:00,26,Good,2,16,23.4,0.11,2.9,0.4,0.5
78,Magong,2024-05-30 20:00,37,Good,4,8,32.4,0.17,4.8,1.1,0.9
77,Kinmen,2024-05-30 20:00,80,Moderate,29,29,33,0.37,15.1,0.5,1.5
75,Matsu,2024-05-30 20:00,46,Good,15,24,39.9,0.2,3.3,0.6,0.6
72,Puli,2024-05-30 20:00,43,Good,9,19,22.5,0.38,9,1.6,1
71,Fuxing,2024-05-30 20:00,21,Good,7,16,21.6,0.31,11.5,1.9,4.2
70,Yonghe,2024-05-30 20:00,45,Good,15,21,8.8,1.13,27.1,11.2,1.1
69,Zhushan,2024-05-30 20:00,40,Good,7,25,17.6,0.25,7,0.7,1
68,Zhongli,2024-05-30 20:00,52,Moderate,21,36,10.9,0.97,33.5,19.8,2.4
67,Sanchong,2024-05-30 20:00,62,Moderate,12,17,3.8,1.75,46.2,83.5,1.4
66,Dongshan,2024-05-30 20:00,36,Good,6,24,30.7,0.21,3.9,0.7,0.4
65,Yilan,2024-05-30 20:00,41,Good,6,6,35.3,0.24,3.6,0.3,0.9
64,Yangming,2024-05-30 20:00,25,Good,8,16,14.9,0.17,1.7,0.6,0.7
63,Hualien,2024-05-30 20:00,31,Good,8,8,21.8,0.28,6.2,0.7,0.2
62,Taitung,2024-05-30 20:00,27,Good,1,8,23.9,0.28,6,1.9,0.1
61,Hengchun,2024-05-30 20:00,31,Good,3,10,30.5,0.1,1.3,0.5,0.7
60,Chaozhou,2024-05-30 20:00,28,Good,6,23,23.8,0.11,4.1,0.2,0.8
59,Pingtung,2024-05-30 20:00,27,Good,8,14,24.2,0.28,8.2,0.7,0.6
58,Xiaogang,2024-05-30 20:00,25,Good,7,11,24.2,0.26,10.1,0.7,2.4
57,Qianzhen,2024-05-30 20:00,25,Good,6,16,17.2,0.5,15.8,5.5,6.1
56,Qianjin,2024-05-30 20:00,21,Good,4,13,18.7,0.18,12.7,0.1,3.2
54,Zuoying,2024-05-30 20:00,29,Good,10,17,19.7,0.33,13,0.3,2.4
53,Nanzi,2024-05-30 20:00,25,Good,10,13,23.5,0.2,11.5,0.6,1
52,Linyuan,2024-05-30 20:00,31,Good,5,19,33.4,0.11,0.7,0.7,0.8
51,Daliao,2024-05-30 20:00,27,Good,7,19,27.2,0.12,3.4,0.3,0.4
50,Fengshan,2024-05-30 20:00,24,Good,7,16,23.6,0.32,8,0.8,2.1
49,Renwu,2024-05-30 20:00,28,Good,7,6,28.2,0.21,6.3,0.9,
48,Qiaotou,2024-05-30 20:00,23,Good,5,13,17.9,0.31,13.7,0.1,1.3
47,Meinong,2024-05-30 20:00,30,Good,8,15,26.5,0.15,3.7,1.1,0.8
46,Tainan,2024-05-30 20:00,31,Good,6,14,22.3,0.26,10.1,0.6,1
45,Annan,2024-05-30 20:00,33,Good,10,12,21.2,0.29,13.1,2.1,1.1
44,Shanhua,2024-05-30 20:00,29,Good,5,13,23.4,0.09,2.6,1,0.4
43,Xinying,2024-05-30 20:00,33,Good,1,18,25,0.17,4.7,0.8,0
42,Chiayi,2024-05-30 20:00,38,Good,5,13,28.6,0.15,4.2,0.7,1.3
41,Taixi,2024-05-30 20:00,43,Good,6,16,30,0.12,2.1,0.8,1.3
40,Puzi,2024-05-30 20:00,30,Good,,20,23.3,0.23,7.7,3,1.2
39,Xingang,2024-05-30 20:00,38,Good,9,22,31,0.16,4.7,1.2,0.9
38,Lunbei,2024-05-30 20:00,37,Good,11,19,28.8,0.17,4.6,0.7,0.9
37,Douliu,2024-05-30 20:00,38,Good,7,25,27.2,0.25,7.6,1.4,2.1
36,Nantou,2024-05-30 20:00,41,Good,7,22,20.2,0.2,8.7,1,0.3
35,Erlin,2024-05-30 20:00,53,Moderate,23,30,26.8,0.17,5.7,1.7,0.6
34,Xianxi,2024-05-30 20:00,46,Good,11,24,30.3,0.2,6.8,1.2,1.1
33,Changhua,2024-05-30 20:00,54,Moderate,12,21,35.3,0.22,7.2,1.3,0.5
32,Xitun,2024-05-30 20:00,51,Moderate,7,19,31.6,0.24,9.2,0.7,0.9
31,Zhongming,2024-05-30 20:00,35,Good,8,21,30.4,0.26,9.2,0.7,1.2
30,Dali,2024-05-30 20:00,47,Good,9,15,21.3,0.39,11.8,1.2,1.4
29,Shalu,2024-05-30 20:00,49,Good,11,33,32,0.31,11.9,0.2,1.1
28,Fengyuan,2024-05-30 20:00,54,Moderate,8,16,22.9,0.22,6.7,1,0.7
27,Sanyi,2024-05-30 20:00,48,Good,13,13,30.9,0.17,2.1,1,0.6
26,Miaoli,2024-05-30 20:00,50,Good,11,25,33.6,0.23,7.5,1.2,0.9
25,Toufen,2024-05-30 20:00,46,Good,11,26,40.6,0.26,5.4,1.4,1.4
24,Hsinchu,2024-05-30 20:00,44,Good,8,15,42.9,0.28,8.7,0.8,1
23,Zhudong,2024-05-30 20:00,54,Moderate,18,23,21.5,0.34,10.9,0.4,2.8
22,Hukou,2024-05-30 20:00,55,Moderate,18,27,35.1,0.23,5.8,0.5,3.4
21,Longtan,2024-05-30 20:00,52,Moderate,21,32,25.7,0.4,19.8,0.3,1.2
20,Pingzhen,2024-05-30 20:00,43,Good,16,31,18.7,0.4,26.7,0.1,2
19,Guanyin,2024-05-30 20:00,35,Good,7,18,34.1,0.19,7.5,0.1,2.2
18,Dayuan,2024-05-30 20:00,34,Good,17,26,21.1,0.36,19.5,1.3,2.2
17,Taoyuan,2024-05-30 20:00,40,Good,13,26,26.6,0.39,23,0.9,1.5
16,Datong,2024-05-30 20:00,51,Moderate,12,19,11,1.18,31.9,14.6,1.8
15,Songshan,2024-05-30 20:00,42,Good,12,22,12.1,0.57,25.3,9.1,0.6
14,Guting,2024-05-30 20:00,35,Good,11,17,17.3,0.45,16.1,1.6,0.7
13,Wanhua,2024-05-30 20:00,47,Good,10,21,18.3,0.55,28,1.6,0.5
12,Zhongshan,2024-05-30 20:00,51,Moderate,13,20,10.2,0.86,31.8,7.5,0.7
11,Shilin,2024-05-30 20:00,38,Good,11,27,17,0.34,23.2,1,0.9
10,Tamsui,2024-05-30 20:00,45,Good,11,28,17.5,0.25,27.5,1.3,3.6
9,Linkou,2024-05-30 20:00,38,Good,11,30,31.5,0.24,7.2,7,1.3
8,Cailiao,2024-05-30 20:00,35,Good,7,23,23.5,0.41,21.3,1.3,1.1
7,Xinzhuang,2024-05-30 20:00,38,Good,11,13,18.2,0.48,23.4,0.3,0.8
6,Banqiao,2024-05-30 20:00,42,Good,8,22,20.2,0.58,25.1,0.9,2.3
5,Tucheng,2024-05-30 20:00,55,Moderate,21,28,7.9,0.65,35.2,1.8,1.8
4,Xindian,2024-05-30 20:00,38,Good,10,18,18.6,0.38,11.6,1.7,0.9
3,Wanli,2024-05-30 20:00,35,Good,5,18,14.4,0.24,7.7,1.7,0.2
2,Xizhi,2024-05-30 20:00,51,Moderate,16,23,1.1,0.6,31.8,14.7,1.8
1,Keelung,2024-05-30 20:00,28,Good,8,20,3.3,0.48,17.4,4.8,1.2
313,Pingtung（fangshan）,2024-05-30 19:00,33,Good,2,19,35.1,0.09,2.3,0,0
312,Taichung（Rilana Elementary）,2024-05-30 19:00,48,Good,8,40,41.3,0.05,5.1,0.2,0.5
311,New Taipei(Shulin),2024-05-30 19:00,52,Moderate,13,22,13.8,0.47,33.2,1.8,2.7
204,Pingtung（Liuqiu）,2024-05-30 19:00,28,Good,8,9,30.6,0.11,1.7,1.3,0.7
203,Tainan（Madou）,2024-05-30 19:00,31,Good,7,15,26.3,0.17,7.5,1.2,0.4
202,Kaohsiung（Hunei）,2024-05-30 19:00,23,Good,2,15,19.9,0.18,8.7,2.6,0.5
201,Changhua（Yuanlin）,2024-05-30 19:00,46,Good,10,26,31.6,0.28,8.7,0.9,2.2
85,Dacheng,2024-05-30 19:00,51,Moderate,5,19,35.1,0.1,4.8,0.6,1
84,FugueiCape,2024-05-30 19:00,43,Good,8,26,36.8,0.13,6.3,0.1,0.2
83,Mailiao,2024-05-30 19:00,45,Good,3,17,26.6,0.17,3.6,0,1.2
80,Guanshan,2024-05-30 19:00,28,Good,5,6,23.4,0.12,3.6,0.3,0.6
78,Magong,2024-05-30 19:00,40,Good,7,4,31.7,0.18,5,1.3,1
77,Kinmen,2024-05-30 19:00,77,Moderate,32,38,39.4,0.37,15.5,0.5,1.7
75,Matsu,2024-05-30 19:00,47,Good,11,19,44.6,0.18,2,0.5,0.7
72,Puli,2024-05-30 19:00,47,Good,12,15,27.4,0.32,6.7,1.6,1
71,Fuxing,2024-05-30 19:00,25,Good,6,12,17.4,0.33,15.9,2.7,2.2
70,Yonghe,2024-05-30 19:00,35,Good,12,13,16.6,0.82,20.6,7.6,0.8
69,Zhushan,2024-05-30 19:00,45,Good,7,13,26.2,0.21,5.6,0.5,1.1
68,Zhongli,2024-05-30 19:00,52,Moderate,15,19,11.7,1.08,33.7,22.9,1.8
67,Sanchong,2024-05-30 19:00,60,Moderate,11,20,5.3,2.07,43.3,77.7,1.2
66,Dongshan,2024-05-30 19:00,38,Good,7,20,36.4,0.21,4.8,1.1,0.5
65,Yilan,2024-05-30 19:00,43,Good,5,18,39.6,0.2,3,0.4,0.9
64,Yangming,2024-05-30 19:00,28,Good,6,10,19.7,0.16,1.5,0.5,1
63,Hualien,2024-05-30 19:00,32,Good,9,14,24.4,0.27,6.6,0.7,0.3
62,Taitung,2024-05-30 19:00,29,Good,0,7,24.8,0.3,6.2,2.3,0.3
61,Hengchun,2024-05-30 19:00,31,Good,2,9,31.9,0.1,1.7,0.6,0.6
60,Chaozhou,2024-05-30 19:00,29,Good,2,13,27.9,0.11,3.2,0.2,0.9
59,Pingtung,2024-05-30 19:00,27,Good,4,13,25.6,0.28,7.3,0.8,0.5
58,Xiaogang,2024-05-30 19:00,29,Good,7,11,22.7,0.5,10.1,1.2,3.7
57,Qianzhen,2024-05-30 19:00,32,Good,2,12,14.4,0.7,19.7,6.6,2.5
56,Qianjin,2024-05-30 19:00,22,Good,2,11,21.2,0.16,11.3,0.5,1.2
54,Zuoying,2024-05-30 19:00,30,Good,10,14,22.1,0.25,12.2,0.7,1.6
53,Nanzi,2024-05-30 19:00,24,Good,10,17,24,0.28,12.6,0.8,0.6
52,Linyuan,2024-05-30 19:00,31,Good,7,21,33.8,0.1,0.8,0.7,0.8
51,Daliao,2024-05-30 19:00,27,Good,7,21,28.4,0.12,3.8,0.3,0.3
50,Fengshan,2024-05-30 19:00,25,Good,11,18,22.8,0.38,10.1,1.3,1.3
49,Renwu,2024-05-30 19:00,28,Good,6,7,27,0.28,8.3,1,
48,Qiaotou,2024-05-30 19:00,24,Good,3,33,20.5,0.39,12.9,0.5,1.5
47,Meinong,2024-05-30 19:00,31,Good,4,17,31,0.13,2.6,1.3,0.7
46,Tainan,2024-05-30 19:00,34,Good,11,19,25.3,0.28,10.5,0.9,1.2
45,Annan,2024-05-30 19:00,34,Good,11,22,24,0.32,12.8,2.6,1.2
44,Shanhua,2024-05-30 19:00,31,Good,8,14,27.6,0.09,2.4,1.2,0.2
43,Xinying,2024-05-30 19:00,39,Good,4,15,30.1,0.19,5.1,0.9,0.1
42,Chiayi,2024-05-30 19:00,43,Good,4,17,33.4,0.19,4.9,0.8,1.3
41,Taixi,2024-05-30 19:00,47,Good,4,16,31.3,0.11,1.8,1,1.3
40,Puzi,2024-05-30 19:00,34,Good,,22,34,0.27,9.4,2.4,1.2
39,Xingang,2024-05-30 19:00,43,Good,12,15,39,0.18,5.2,1.3,0.9
38,Lunbei,2024-05-30 19:00,41,Good,10,13,34.5,0.17,4.2,1,0.8
37,Douliu,2024-05-30 19:00,43,Good,4,23,34.5,0.27,6.3,1.3,1.7
36,Nantou,2024-05-30 19:00,45,Good,7,14,25.6,0.21,6.7,1.1,0.5
35,Erlin,2024-05-30 19:00,51,Moderate,15,17,37.7,0.16,3.8,1.7,0.7
34,Xianxi,2024-05-30 19:00,50,Good,11,11,35.4,0.19,6.1,1.4,0.5
33,Changhua,2024-05-30 19:00,67,Moderate,12,20,39,0.19,7,1.7,0.4
32,Xitun,2024-05-30 19:00,64,Moderate,9,22,37.5,0.21,6.5,0.8,1.1
31,Zhongming,2024-05-30 19:00,37,Good,9,18,31.4,0.29,9.7,1,1.2
30,Dali,2024-05-30 19:00,58,Moderate,8,14,26.8,0.28,8.7,0.6,1.6
29,Shalu,2024-05-30 19:00,58,Moderate,11,31,40.6,0.27,8.6,0.3,1.2
28,Fengyuan,2024-05-30 19:00,71,Moderate,11,20,35.2,0.22,6,1,0.8
27,Sanyi,2024-05-30 19:00,51,Moderate,10,18,37.7,0.19,3.1,1.2,0.8
26,Miaoli,2024-05-30 19:00,67,Moderate,13,20,40.4,0.22,7.1,1,1.2
25,Toufen,2024-05-30 19:00,50,Good,10,26,39.4,0.27,6,1.5,1.3
24,Hsinchu,2024-05-30 19:00,47,Good,10,23,35.7,0.34,18.5,0.7,3.9
23,Zhudong,2024-05-30 19:00,58,Moderate,17,21,30.1,0.31,9.4,0.5,0.1
22,Hukou,2024-05-30 19:00,54,Moderate,20,24,33.9,0.24,6.6,0.8,6.7
21,Longtan,2024-05-30 19:00,49,Good,19,25,35.4,0.32,16,0.4,1.4
20,Pingzhen,2024-05-30 19:00,38,Good,13,28,23.6,0.35,19.8,0.2,0.7
19,Guanyin,2024-05-30 19:00,51,Moderate,12,21,31.8,0.22,12.9,0.5,21.4
18,Dayuan,2024-05-30 19:00,36,Good,15,28,26,0.36,19.5,1.8,2.1
17,Taoyuan,2024-05-30 19:00,52,Moderate,14,29,12,0.49,33.4,1.9,2
16,Datong,2024-05-30 19:00,48,Good,10,21,14,1.41,29.8,20.6,1.8
15,Songshan,2024-05-30 19:00,36,Good,12,13,17.5,0.47,21.8,6.1,0.2
14,Guting,2024-05-30 19:00,38,Good,7,11,24.8,0.45,15.3,1.6,0.4
13,Wanhua,2024-05-30 19:00,42,Good,11,21,21.2,0.64,25.5,1.7,0.6
12,Zhongshan,2024-05-30 19:00,52,Moderate,8,14,11.4,0.84,32.7,13.7,1
11,Shilin,2024-05-30 19:00,35,Good,11,23,21,0.35,20.2,1.1,0.5
10,Tamsui,2024-05-30 19:00,42,Good,11,27,21.2,0.26,25.4,2.5,2.9
9,Linkou,2024-05-30 19:00,40,Good,4,13,36.3,0.18,3.9,0.6,0.9
8,Cailiao,2024-05-30 19:00,38,Good,8,18,25.6,0.48,20.7,1.1,0.9
7,Xinzhuang,2024-05-30 19:00,40,Good,11,13,18.7,0.55,24.7,3.3,0.7
6,Banqiao,2024-05-30 19:00,41,Good,8,17,24.1,0.55,21,1.3,1
5,Tucheng,2024-05-30 19:00,51,Moderate,18,28,16.3,0.65,31.6,1.5,2.3
4,Xindian,2024-05-30 19:00,42,Good,6,13,27.4,0.39,11.8,1.6,0.6
3,Wanli,2024-05-30 19:00,39,Good,5,27,18.9,0.29,12.6,1.6,0.4
2,Xizhi,2024-05-30 19:00,52,Moderate,14,27,8.9,0.44,32.9,3.6,4
1,Keelung,2024-05-30 19:00,27,Good,4,19,5.1,0.47,16.6,5.2,1.4
313,Pingtung（fangshan）,2024-05-30 18:00,33,Good,0,14,36,0.09,1.7,0.1,0
312,Taichung（Rilana Elementary）,2024-05-30 18:00,50,Good,10,32,43.4,0.1,5.3,0.3,0.6
311,New Taipei(Shulin),2024-05-30 18:00,49,Good,19,23,16.8,0.41,24.7,1.5,5.9
204,Pingtung（Liuqiu）,2024-05-30 18:00,27,Good,7,10,30.2,0.1,1.7,1.2,0.7
203,Tainan（Madou）,2024-05-30 18:00,32,Good,8,22,32.4,0.19,7.1,1.9,0
202,Kaohsiung（Hunei）,2024-05-30 18:00,26,Good,6,16,24.2,0.26,7.6,2.9,1.2
201,Changhua（Yuanlin）,2024-05-30 18:00,52,Moderate,10,22,25.8,0.39,10.7,5.8,1.8
85,Dacheng,2024-05-30 18:00,64,Moderate,4,18,43,0.09,3.8,0.5,1
84,FugueiCape,2024-05-30 18:00,44,Good,12,39,42.9,0.14,2.9,0.2,0.2
83,Mailiao,2024-05-30 18:00,49,Good,8,11,28.5,0.15,3.7,1.1,1.2
80,Guanshan,2024-05-30 18:00,30,Good,5,4,,0.15,2.7,0.4,0.4
78,Magong,2024-05-30 18:00,42,Good,8,7,31.6,0.23,4.9,1.9,1.1
77,Kinmen,2024-05-30 18:00,72,Moderate,29,37,46.7,0.35,13.8,0.5,1.7
75,Matsu,2024-05-30 18:00,47,Good,12,24,50.5,0.18,1.8,0.5,0.9
72,Puli,2024-05-30 18:00,50,Good,16,20,38.6,0.25,4.9,1.5,1
71,Fuxing,2024-05-30 18:00,23,Good,3,15,22.1,0.33,13.7,3.1,1.8
70,Yonghe,2024-05-30 18:00,43,Good,10,11,18.8,0.89,26.1,7.4,0.7
69,Zhushan,2024-05-30 18:00,53,Moderate,8,10,31.8,0.16,5.5,0.8,1.2
68,Zhongli,2024-05-30 18:00,55,Moderate,11,27,12.8,1.14,36.5,27.7,1.7
67,Sanchong,2024-05-30 18:00,56,Moderate,12,22,11.6,1.21,38.5,50.4,0.8
66,Dongshan,2024-05-30 18:00,39,Good,7,23,35,0.26,8.1,2.3,0.5
65,Yilan,2024-05-30 18:00,44,Good,6,22,41.2,0.23,3.4,0.5,0.9
64,Yangming,2024-05-30 18:00,29,Good,6,10,30.2,0.15,1.3,0.7,0.9
63,Hualien,2024-05-30 18:00,33,Good,11,42,27.6,0.27,6,1.2,0.6
62,Taitung,2024-05-30 18:00,31,Good,0,7,25.3,0.34,6.4,2.9,0.2
61,Hengchun,2024-05-30 18:00,31,Good,3,20,34.7,0.1,1.2,0.7,0.6
60,Chaozhou,2024-05-30 18:00,29,Good,4,12,30.2,0.09,2.3,0.2,0.9
59,Pingtung,2024-05-30 18:00,28,Good,3,17,27,0.25,6.4,1.1,0.6
58,Xiaogang,2024-05-30 18:00,31,Good,7,19,24.1,0.44,10.8,2.2,5.4
57,Qianzhen,2024-05-30 18:00,27,Good,2,21,20.2,0.51,16.8,6.5,1.6
56,Qianjin,2024-05-30 18:00,23,Good,1,17,25.1,0.13,8.7,1.2,1.6
54,Zuoying,2024-05-30 18:00,32,Good,7,14,25.6,0.23,10.1,1.4,1.5
53,Nanzi,2024-05-30 18:00,24,Good,7,22,26.4,0.24,11.3,1.4,0.5
52,Linyuan,2024-05-30 18:00,31,Good,3,20,34.1,0.11,0.7,0.9,0.8
51,Daliao,2024-05-30 18:00,27,Good,5,17,29,0.12,3.9,0.9,0.3
50,Fengshan,2024-05-30 18:00,26,Good,7,25,25.5,0.43,9.8,1.7,1.6
49,Renwu,2024-05-30 18:00,29,Good,4,11,30.7,0.24,6.5,1.2,0
48,Qiaotou,2024-05-30 18:00,26,Good,4,14,24.2,0.35,9.8,1,1.5
47,Meinong,2024-05-30 18:00,33,Good,2,15,33,0.11,2.1,1.2,0.7
46,Tainan,2024-05-30 18:00,36,Good,13,21,31.6,0.28,9.2,1.1,1.5
45,Annan,2024-05-30 18:00,37,Good,13,26,29.3,0.29,12.7,3.3,0.8
44,Shanhua,2024-05-30 18:00,35,Good,7,18,33.4,0.11,3.8,1.3,0.8
43,Xinying,2024-05-30 18:00,42,Good,5,17,38.7,0.25,6.5,0.9,0.3
42,Chiayi,2024-05-30 18:00,45,Good,4,15,36.6,0.18,4.4,1.2,1.4
41,Taixi,2024-05-30 18:00,50,Good,3,17,31.5,0.11,1.9,1.3,1.4
40,Puzi,2024-05-30 18:00,37,Good,,17,31.4,0.24,7.3,3.1,1.1
39,Xingang,2024-05-30 18:00,45,Good,8,14,38.5,0.14,4.4,1.9,0.8
38,Lunbei,2024-05-30 18:00,43,Good,5,9,32.6,0.16,4.3,1.6,1.1
37,Douliu,2024-05-30 18:00,46,Good,4,10,30.7,0.21,4.2,1.8,1.6
36,Nantou,2024-05-30 18:00,50,Good,6,14,27.3,0.18,6,1.6,0.5
35,Erlin,2024-05-30 18:00,61,Moderate,11,17,43.7,0.14,3.5,1.8,0.9
34,Xianxi,2024-05-30 18:00,54,Moderate,7,20,43.7,0.18,5.6,1.6,1.3
33,Changhua,2024-05-30 18:00,77,Moderate,10,30,42.5,0.21,7.9,1.8,0.5
32,Xitun,2024-05-30 18:00,71,Moderate,8,28,42.9,0.18,5.8,0.9,1.2
31,Zhongming,2024-05-30 18:00,43,Good,8,23,35.8,0.28,9.7,1.3,1.3
30,Dali,2024-05-30 18:00,71,Moderate,16,21,35.2,0.35,11.6,1.1,1.8
29,Shalu,2024-05-30 18:00,67,Moderate,10,34,44.3,0.27,8.8,0.5,1.5
28,Fengyuan,2024-05-30 18:00,80,Moderate,9,24,43.4,0.27,9,2.5,0.9
27,Sanyi,2024-05-30 18:00,58,Moderate,19,36,46.7,0.25,4,1.3,1.4
26,Miaoli,2024-05-30 18:00,74,Moderate,11,23,46.2,0.22,6.6,1.3,2
25,Toufen,2024-05-30 18:00,58,Moderate,8,22,43.5,0.28,6,1.5,1.5
24,Hsinchu,2024-05-30 18:00,51,Moderate,10,15,45.2,0.31,8.7,0.9,1.7
23,Zhudong,2024-05-30 18:00,64,Moderate,15,24,37.2,0.29,10,0.6,0.4
22,Hukou,2024-05-30 18:00,52,Moderate,17,24,36.3,0.21,5.4,0.6,6.1
21,Longtan,2024-05-30 18:00,46,Good,14,31,30.2,0.39,20.9,0.7,1.7
20,Pingzhen,2024-05-30 18:00,39,Good,13,25,29.4,0.36,18.3,0.8,0.8
19,Guanyin,2024-05-30 18:00,40,Good,10,15,36,0.25,8,0.4,3
18,Dayuan,2024-05-30 18:00,38,Good,10,20,31,0.29,17.1,1.9,1.5
17,Taoyuan,2024-05-30 18:00,42,Good,14,25,21.5,0.49,25.7,2,3.9
16,Datong,2024-05-30 18:00,40,Good,12,17,18.8,1.33,24.9,15.5,1.2
15,Songshan,2024-05-30 18:00,35,Good,11,13,26.4,0.35,15.8,2.3,0.8
14,Guting,2024-05-30 18:00,38,Good,9,16,28.5,0.48,16.9,1.2,
13,Wanhua,2024-05-30 18:00,45,Good,10,18,23.5,0.63,27.7,2.1,0.7
12,Zhongshan,2024-05-30 18:00,38,Good,8,16,20.9,0.59,23.7,6.8,1.3
11,Shilin,2024-05-30 18:00,36,Good,8,14,28.3,0.27,14.3,1.5,0.2
10,Tamsui,2024-05-30 18:00,37,Good,9,34,24.5,0.19,22.8,2.8,2.3
9,Linkou,2024-05-30 18:00,41,Good,2,7,39.9,0.15,3,0.9,1
8,Cailiao,2024-05-30 18:00,39,Good,10,12,30.8,0.37,14.3,1,1.1
7,Xinzhuang,2024-05-30 18:00,42,Good,8,20,27.6,0.36,16.2,1.8,0.5
6,Banqiao,2024-05-30 18:00,43,Good,11,24,27.2,0.52,23,1.7,1
5,Tucheng,2024-05-30 18:00,51,Moderate,21,34,29.1,0.52,24.5,1.2,1.4
4,Xindian,2024-05-30 18:00,44,Good,11,14,30.5,0.43,12.8,1.8,0.7
3,Wanli,2024-05-30 18:00,45,Good,7,40,36.4,0.25,8.9,1.1,0.5
2,Xizhi,2024-05-30 18:00,48,Good,11,23,14.4,0.43,29,3.9,5.3
1,Keelung,2024-05-30 18:00,28,Good,6,12,15.3,0.4,13,2.3,1.4
313,Pingtung（fangshan）,2024-05-30 17:00,33,Good,0,8,37.6,0.09,1.1,0,0
312,Taichung（Rilana Elementary）,2024-05-30 17:00,50,Good,8,32,50,0.09,4.1,0.4,1
311,New Taipei(Shulin),2024-05-30 17:00,46,Good,17,25,21.3,0.35,26.5,2.3,3.8
204,Pingtung（Liuqiu）,2024-05-30 17:00,27,Good,5,17,30.5,0.08,1.3,1.3,0.7
203,Tainan（Madou）,2024-05-30 17:00,32,Good,7,17,32.7,0.16,5.5,1.7,0
202,Kaohsiung（Hunei）,2024-05-30 17:00,25,Good,7,20,27.8,0.19,4.8,2.3,0.7
201,Changhua（Yuanlin）,2024-05-30 17:00,57,Moderate,12,22,31.1,0.28,7.5,2.2,1.8
85,Dacheng,2024-05-30 17:00,67,Moderate,6,9,48.8,0.1,2.7,0.3,0.7
84,FugueiCape,2024-05-30 17:00,44,Good,8,39,46.6,0.14,1.4,0.1,0.3
83,Mailiao,2024-05-30 17:00,54,Moderate,11,16,38.9,0.21,7.1,1.2,1.2
80,Guanshan,2024-05-30 17:00,30,Good,1,5,,0.12,2.7,0.6,0.2
78,Magong,2024-05-30 17:00,44,Good,5,7,34.7,0.18,4.3,2.1,1.1
77,Kinmen,2024-05-30 17:00,68,Moderate,33,37,52.7,0.33,12.3,0.9,1.8
75,Matsu,2024-05-30 17:00,45,Good,14,35,55,0.23,5.7,1.4,0.9
72,Puli,2024-05-30 17:00,49,Good,12,11,48.3,0.29,6.3,1.6,0.9
71,Fuxing,2024-05-30 17:00,23,Good,4,12,26.4,0.25,9.4,3.5,3.1
70,Yonghe,2024-05-30 17:00,36,Good,11,11,34.6,0.48,18.3,2.4,0.8
69,Zhushan,2024-05-30 17:00,58,Moderate,16,19,34.9,0.29,9.2,1.1,1.1
68,Zhongli,2024-05-30 17:00,55,Moderate,13,34,15.2,0.89,36.8,36.2,1.6
67,Sanchong,2024-05-30 17:00,55,Moderate,11,26,16.2,0.7,36.6,30.2,1.1
66,Dongshan,2024-05-30 17:00,38,Good,6,19,39.8,0.24,6.4,1.5,0.6
65,Yilan,2024-05-30 17:00,44,Good,5,18,43.6,0.23,3.3,0.6,1
64,Yangming,2024-05-30 17:00,28,Good,4,10,29.1,0.17,1.6,0.6,1.9
63,Hualien,2024-05-30 17:00,32,Good,7,15,32,0.26,4.7,1.2,0.3
62,Taitung,2024-05-30 17:00,32,Good,0,9,26,0.26,4.7,2.8,0.2
