siteid,sitename,datacreationdate,aqi,status,pm2.5,pm10,o3,co,no2,no,so2
64,Yangming,2024-05-31 02:00,25,Good,8,14,29.9,0.17,3.2,0.8,0.7
63,Hualien,2024-05-31 02:00,22,Good,6,6,17,0.16,1.1,0.8,0.3
62,Taitung,2024-05-31 02:00,17,Good,1,22,8.5,0.1,4.4,1.6,0.6
61,Hengchun,2024-05-31 02:00,25,Good,3,18,24.7,0.07,1,0.3,0.1
60,Chaozhou,2024-05-31 02:00,18,Good,0,12,16.4,0.07,1.4,1.8,0.5
59,Pingtung,2024-05-31 02:00,21,Good,1,5,22.4,0.1,3.1,0.5,0.5
58,Xiaogang,2024-05-31 02:00,33,Good,4,7,20.5,0.1,6.2,0.6,1
57,Qianzhen,2024-05-31 02:00,16,Good,0,8,20,0.11,6.9,0.8,4.8
56,Qianjin,2024-05-31 02:00,18,Good,2,9,19.5,0.14,6.3,0.4,1.8
54,Zuoying,2024-05-31 02:00,29,Good,6,6,18,0.15,7.1,0.5,1.7
53,Nanzi,2024-05-31 02:00,22,Good,3,5,14.4,0.12,13.4,0.9,4.4
52,Linyuan,2024-05-31 02:00,27,Good,5,11,22.3,0.1,1.8,0,0.8
51,Daliao,2024-05-31 02:00,23,Good,5,7,19.9,0.09,2.4,0.2,0.4
50,Fengshan,2024-05-31 02:00,21,Good,0,5,23.9,0.1,1.7,0.1,0.5
49,Renwu,2024-05-31 02:00,24,Good,4,3,23.4,0.1,3.5,0,1.8
48,Qiaotou,2024-05-31 02:00,18,Good,3,6,18.2,0.11,6.6,0.9,1.6
47,Meinong,2024-05-31 02:00,18,Good,0,14,23.1,0.1,1.5,0.5,0
46,Tainan,2024-05-31 02:00,28,Good,9,15,18.8,0.2,7.6,0.7,1.4
45,Annan,2024-05-31 02:00,25,Good,6,16,18.9,0.21,8,0.7,1.1
44,Shanhua,2024-05-31 02:00,26,Good,6,10,22.3,0.07,1.5,0.5,0.3
43,Xinying,2024-05-31 02:00,20,Good,3,11,18.7,0.12,3.4,1.2,0.8
42,Chiayi,2024-05-31 02:00,20,Good,3,13,20.4,0.09,2.2,0.7,1.1
41,Taixi,2024-05-31 02:00,21,Good,3,17,20.6,0.13,4.1,0.3,1
40,Puzi,2024-05-31 02:00,19,Good,,21,16.8,0.12,5.5,1.3,1.4
39,Xingang,2024-05-31 02:00,25,Good,5,15,22.1,0.11,2.4,1.3,1
38,Lunbei,2024-05-31 02:00,22,Good,4,15,15,0.13,3.1,0.1,0.4
37,Douliu,2024-05-31 02:00,23,Good,5,29,6,0.18,11.3,1.7,1.1
36,Nantou,2024-05-31 02:00,27,Good,5,32,3.2,0.16,7,0.1,0.1
35,Erlin,2024-05-31 02:00,45,Good,15,26,4.5,0.18,10.8,0.6,1.5
34,Xianxi,2024-05-31 02:00,32,Good,11,21,6.6,0.23,9,1.7,0.2
33,Changhua,2024-05-31 02:00,27,Good,3,17,20.3,0.12,5,0.4,0.6
32,Xitun,2024-05-31 02:00,31,Good,6,21,8.7,0.18,8.1,1.3,0.7
31,Zhongming,2024-05-31 02:00,26,Good,7,19,11.4,0.22,5.2,0.6,1.4
30,Dali,2024-05-31 02:00,36,Good,7,18,10.1,0.18,5,0,1.1
29,Shalu,2024-05-31 02:00,28,Good,5,15,15.6,0.18,9.3,1,0.9
28,Fengyuan,2024-05-31 02:00,22,Good,3,15,19.3,0.15,4.2,0.6,0.9
27,Sanyi,2024-05-31 02:00,26,Good,6,15,18,0.15,2.9,0.7,0.6
26,Miaoli,2024-05-31 02:00,46,Good,16,19,5.2,0.23,10.8,1.8,0.9
25,Toufen,2024-05-31 02:00,38,Good,11,23,9.4,0.22,5.9,1.1,0.6
24,Hsinchu,2024-05-31 02:00,34,Good,11,22,18.9,0.28,12.7,0.9,0.6
23,Zhudong,2024-05-31 02:00,54,Moderate,16,29,8.3,0.24,4.5,0.8,0.7
22,Hukou,2024-05-31 02:00,49,Good,14,24,12,0.3,16.8,3.1,0.2
21,Longtan,2024-05-31 02:00,59,Moderate,20,33,0.1,0.41,22.4,9.1,0.3
20,Pingzhen,2024-05-31 02:00,41,Good,16,38,15.5,0.37,20.6,0.3,1
19,Guanyin,2024-05-31 02:00,31,Good,11,26,18.4,0.22,7.6,1.9,0.8
18,Dayuan,2024-05-31 02:00,46,Good,21,27,16.2,0.3,10.1,0,1.2
17,Taoyuan,2024-05-31 02:00,45,Good,18,22,14.4,0.4,18.2,0.6,2.2
16,Datong,2024-05-31 02:00,40,Good,14,29,2.3,0.67,18.1,12,1
15,Songshan,2024-05-31 02:00,46,Good,15,18,9.7,0.33,12,0.9,0.3
14,Guting,2024-05-31 02:00,25,Good,5,13,8.6,0.22,4.8,1.1,
13,Wanhua,2024-05-31 02:00,35,Good,9,21,6.6,0.34,12.8,2.6,0.2
12,Zhongshan,2024-05-31 02:00,34,Good,11,19,6.6,0.34,11,0.9,0.4
11,Shilin,2024-05-31 02:00,39,Good,15,22,8.9,0.33,14.5,0.4,1
10,Tamsui,2024-05-31 02:00,36,Good,11,27,8.7,0.34,15.8,0.7,1.4
9,Linkou,2024-05-31 02:00,31,Good,12,26,14.3,0.33,,,2
8,Cailiao,2024-05-31 02:00,36,Good,12,15,2.1,0.52,17.9,1.4,1
7,Xinzhuang,2024-05-31 02:00,50,Good,15,24,8.8,0.45,17.1,0.9,1.2
6,Banqiao,2024-05-31 02:00,42,Good,14,26,2.8,0.5,20.9,1.5,0.6
5,Tucheng,2024-05-31 02:00,57,Moderate,16,23,1.9,0.46,18.6,4,0.3
4,Xindian,2024-05-31 02:00,35,Good,9,21,9.9,0.21,3.9,1.3,1.1
3,Wanli,2024-05-31 02:00,26,Good,6,21,6.3,0.34,10.9,0.8,0.4
2,Xizhi,2024-05-31 02:00,43,Good,11,19,0.6,0.49,16,13.2,1.2
1,Keelung,2024-05-31 02:00,22,Good,4,21,1.8,0.39,13.6,2.2,0.6
313,Pingtung（fangshan）,2024-05-31 01:00,26,Good,2,13,29.2,0.08,1.8,0,0
312,Taichung（Rilana Elementary）,2024-05-31 01:00,28,Good,6,12,19.7,0.03,8.8,2.1,0.3
311,New Taipei(Shulin),2024-05-31 01:00,51,Moderate,12,27,8.8,0.28,7.9,0.6,0.8
204,Pingtung（Liuqiu）,2024-05-31 01:00,26,Good,5,7,24.2,0.06,0.9,1.2,0.6
203,Tainan（Madou）,2024-05-31 01:00,19,Good,4,17,18.2,0.13,4.6,0.9,0.5
202,Kaohsiung（Hunei）,2024-05-31 01:00,15,Good,4,10,15.6,0.17,8.3,1.1,1.1
201,Changhua（Yuanlin）,2024-05-31 01:00,44,Good,12,20,14.4,0.22,7.9,0.5,1.6
85,Dacheng,2024-05-31 01:00,20,Good,5,15,12.3,0.13,6,0.1,0.9
84,FugueiCape,2024-05-31 01:00,30,Good,5,23,28.8,0.16,5.4,0.1,0.5
83,Mailiao,2024-05-31 01:00,22,Good,5,15,17,0.16,6.1,0.3,1.5
80,Guanshan,2024-05-31 01:00,18,Good,2,35,6,0.11,1.7,0.2,0.4
78,Magong,2024-05-31 01:00,27,Good,1,4,29.7,0.1,2.6,1,1
77,Kinmen,2024-05-31 01:00,76,Moderate,30,35,2.8,0.33,25.9,1.6,1.6
75,Matsu,2024-05-31 01:00,39,Good,12,18,28.6,0.2,14.9,0.8,1.3
72,Puli,2024-05-31 01:00,35,Good,10,22,8.9,0.19,3.8,1.4,0.9
71,Fuxing,2024-05-31 01:00,20,Good,5,8,14.3,0.37,12.2,1.8,1.4
70,Yonghe,2024-05-31 01:00,59,Moderate,16,8,6.5,0.37,10.1,1.7,0.9
69,Zhushan,2024-05-31 01:00,30,Good,5,31,5.1,0.12,4.3,0.6,0.8
68,Zhongli,2024-05-31 01:00,46,Good,13,34,12.4,0.61,22.9,4.5,1.7
67,Sanchong,2024-05-31 01:00,50,Good,16,22,2.6,0.86,30.3,25.4,1.1
66,Dongshan,2024-05-31 01:00,24,Good,12,21,8.9,0.31,3.7,0.6,0.6
65,Yilan,2024-05-31 01:00,23,Good,9,12,8,0.17,2.7,0.4,0.4
64,Yangming,2024-05-31 01:00,25,Good,11,17,29.9,0.16,2.3,0.5,0.7
63,Hualien,2024-05-31 01:00,25,Good,7,16,15.4,0.17,1.7,0.2,0.3
62,Taitung,2024-05-31 01:00,19,Good,1,23,9.7,0.12,1.9,1.6,0
61,Hengchun,2024-05-31 01:00,27,Good,1,9,27.6,0.1,0.8,0.5,0.3
60,Chaozhou,2024-05-31 01:00,19,Good,0,10,22.3,0.06,0.7,0.2,0.5
