siteid,sitename,datacreationdate,aqi,status,no2,so2,o3,pm10,no
28,Fengyuan,2024-05-31 11:00,22,Good,4.3,,42.5,13,2
27,Sanyi,2024-05-31 11:00,23,Good,2.8,1.1,43.9,16,1.8
26,Miaoli,2024-05-31 11:00,20,Good,3.5,0.8,48.5,14,1.1
25,Toufen,2024-05-31 11:00,21,Good,4.9,2.5,41.8,22,2.6
24,Hsinchu,2024-05-31 11:00,23,Good,7.8,1,41.8,19,2.3
23,Zhudong,2024-05-31 11:00,31,Good,2.8,0.4,41,8,0.9
22,Hukou,2024-05-31 11:00,46,Good,3.2,0.9,44.2,19,2.3
21,Longtan,2024-05-31 11:00,30,Good,,,,9,
20,Pingzhen,2024-05-31 11:00,33,Good,6.8,0.7,39.5,19,1.7
19,Guanyin,2024-05-31 11:00,45,Good,7,0,40.8,27,3.5
18,Dayuan,2024-05-31 11:00,36,Good,11.4,2.3,,32,2.3
17,Taoyuan,2024-05-31 11:00,41,Good,7.3,1.3,41.9,21,1.5
16,Datong,2024-05-31 11:00,55,Moderate,31.2,1.8,47.3,39,13.4
15,Songshan,2024-05-31 11:00,44,Good,22.3,,47.2,24,5.4
14,Guting,2024-05-31 11:00,34,Good,16.6,,64.6,30,2
13,Wanhua,2024-05-31 11:00,42,Good,24.9,0.9,58.4,36,2
12,Zhongshan,2024-05-31 11:00,37,Good,22,0.7,57.3,39,2.7
11,Shilin,2024-05-31 11:00,42,Good,14.8,1.2,59.7,33,1.5
10,Tamsui,2024-05-31 11:00,52,Moderate,11.2,2,66.7,,1.1
9,Linkou,2024-05-31 11:00,36,Good,8.5,0.8,52.4,28,1.7
8,Cailiao,2024-05-31 11:00,40,Good,19.2,1.5,65.5,35,1.2
7,Xinzhuang,2024-05-31 11:00,59,Moderate,10.7,0.7,44.7,21,1.5
6,Banqiao,2024-05-31 11:00,49,Good,13.1,1,56.7,31,1.4
5,Tucheng,2024-05-31 11:00,62,Moderate,15.4,0.5,61.2,37,1.6
4,Xindian,2024-05-31 11:00,46,Good,11.5,1.7,62.4,22,1.8
3,Wanli,2024-05-31 11:00,36,Good,14,1.9,64.7,34,1.9
2,Xizhi,2024-05-31 11:00,46,Good,13.7,3.1,55.8,29,1.4
1,Keelung,2024-05-31 11:00,27,Good,4.1,1.1,57.3,20,0.9
313,Pingtung（fangshan）,2024-05-31 10:00,22,Good,0.3,0.1,,34,0
312,Taichung（Rilana Elementary）,2024-05-31 10:00,13,Good,4.8,0,35.2,8,1.8
311,New Taipei(Shulin),2024-05-31 10:00,50,Good,10.1,0.8,27.4,22,1.4
204,Pingtung（Liuqiu）,2024-05-31 10:00,19,Good,1.2,0.3,24,14,1.4
203,Tainan（Madou）,2024-05-31 10:00,19,Good,5.7,0.2,26.7,21,2.3
202,Kaohsiung（Hunei）,2024-05-31 10:00,16,Good,6.3,1.3,22.9,20,3.4
201,Changhua（Yuanlin）,2024-05-31 10:00,22,Good,4.4,1.7,30.7,16,2.6
85,Dacheng,2024-05-31 10:00,20,Good,1.7,1.2,30.3,16,1.3
84,FugueiCape,2024-05-31 10:00,46,Good,9.5,0.7,48.8,39,2.3
83,Mailiao,2024-05-31 10:00,20,Good,3.3,1.2,29.7,13,1.7
80,Guanshan,2024-05-31 10:00,22,Good,1.5,0.7,17.2,13,1.8
78,Magong,2024-05-31 10:00,22,Good,6.9,0.8,30.1,10,2.6
77,Kinmen,2024-05-31 10:00,84,Moderate,12.7,0.8,26.2,27,3.8
75,Matsu,2024-05-31 10:00,51,Moderate,,0.8,44.7,18,
72,Puli,2024-05-31 10:00,24,Good,2.3,1,26.7,16,2.6
71,Fuxing,2024-05-31 10:00,14,Good,8,1,22.2,10,3.4
70,Yonghe,2024-05-31 10:00,43,Good,26.5,1.4,32.3,23,16.9
69,Zhushan,2024-05-31 10:00,29,Good,2.9,0.9,29.8,11,1.8
68,Zhongli,2024-05-31 10:00,43,Good,24.7,1.8,16.6,21,30.3
67,Sanchong,2024-05-31 10:00,59,Moderate,42,0.9,28.5,29,35.4
66,Dongshan,2024-05-31 10:00,24,Good,8.3,1.2,37.5,20,4
65,Yilan,2024-05-31 10:00,17,Good,3.8,1.8,39.8,14,1.2
64,Yangming,2024-05-31 10:00,27,Good,3.7,0.9,38.6,11,1.1
63,Hualien,2024-05-31 10:00,18,Good,6.5,0.8,24,,4.9
62,Taitung,2024-05-31 10:00,22,Good,3.4,0.4,23.6,19,2.9
61,Hengchun,2024-05-31 10:00,24,Good,0.1,,27.5,18,0.4
60,Chaozhou,2024-05-31 10:00,18,Good,0.8,0.8,27.9,12,2
59,Pingtung,2024-05-31 10:00,21,Good,3.2,0.7,27.4,11,1.6
58,Xiaogang,2024-05-31 10:00,52,Moderate,6.3,2.5,24.7,16,3.3
57,Qianzhen,2024-05-31 10:00,15,Good,9.1,2.1,22,16,5
56,Qianjin,2024-05-31 10:00,16,Good,7.7,1.3,24,20,3.6
54,Zuoying,2024-05-31 10:00,29,Good,7.1,1.2,24.5,15,3.5
53,Nanzi,2024-05-31 10:00,22,Good,12.3,2.2,23.8,28,4.2
52,Linyuan,2024-05-31 10:00,28,Good,2.1,1,27,21,0
