siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5
44,Shanhua,2024-05-31 04:00,21,Good,20.8,1.8,6
43,Xinying,2024-05-31 04:00,19,Good,20.9,2.3,0
42,Chiayi,2024-05-31 04:00,19,Good,25.3,0.9,1
41,Taixi,2024-05-31 04:00,19,Good,21.1,2.3,0
40,Puzi,2024-05-31 04:00,16,Good,16.8,3.7,
39,Xingang,2024-05-31 04:00,21,Good,21.2,3.3,5
38,Lunbei,2024-05-31 04:00,19,Good,18,3.6,5
37,Douliu,2024-05-31 04:00,23,Good,10.8,4.4,5
36,Nantou,2024-05-31 04:00,28,Good,3.4,4.3,3
35,Erlin,2024-05-31 04:00,42,Good,17.4,3.2,8
34,Xianxi,2024-05-31 04:00,27,Good,11.5,6.6,5
33,Changhua,2024-05-31 04:00,19,Good,9.2,7.1,3
32,Xitun,2024-05-31 04:00,26,Good,5.4,8.1,6
31,Zhongming,2024-05-31 04:00,25,Good,8.5,4.6,8
30,Dali,2024-05-31 04:00,24,Good,7.5,4.3,2
29,Shalu,2024-05-31 04:00,24,Good,12,7.1,5
28,Fengyuan,2024-05-31 04:00,18,Good,14.3,4.2,3
27,Sanyi,2024-05-31 04:00,23,Good,18.2,1,6
26,Miaoli,2024-05-31 04:00,40,Good,0.9,9.7,10
25,Toufen,2024-05-31 04:00,34,Good,6.1,6,9
24,Hsinchu,2024-05-31 04:00,32,Good,5.4,12,9
23,Zhudong,2024-05-31 04:00,53,Moderate,5.9,4.7,14
22,Hukou,2024-05-31 04:00,49,Good,15,10.4,13
21,Longtan,2024-05-31 04:00,57,Moderate,2.5,12.5,15
20,Pingzhen,2024-05-31 04:00,48,Good,3,22.7,21
19,Guanyin,2024-05-31 04:00,39,Good,14.5,11.2,17
18,Dayuan,2024-05-31 04:00,48,Good,12.1,12.6,15
17,Taoyuan,2024-05-31 04:00,53,Moderate,0,22.7,19
16,Datong,2024-05-31 04:00,39,Good,5.7,8.8,12
15,Songshan,2024-05-31 04:00,42,Good,6.5,10.9,9
14,Guting,2024-05-31 04:00,24,Good,7.3,3.2,7
13,Wanhua,2024-05-31 04:00,30,Good,6.9,7.1,8
12,Zhongshan,2024-05-31 04:00,29,Good,6.8,7,5
11,Shilin,2024-05-31 04:00,41,Good,7.5,10.1,17
10,Tamsui,2024-05-31 04:00,37,Good,4.3,19.2,14
9,Linkou,2024-05-31 04:00,37,Good,8.8,22.8,12
8,Cailiao,2024-05-31 04:00,34,Good,3.9,13.1,8
7,Xinzhuang,2024-05-31 04:00,55,Moderate,6.2,16.1,20
6,Banqiao,2024-05-31 04:00,39,Good,2.3,16.6,12
5,Tucheng,2024-05-31 04:00,55,Moderate,3.1,13,20
4,Xindian,2024-05-31 04:00,37,Good,8.2,2.6,12
3,Wanli,2024-05-31 04:00,23,Good,5.3,6.9,6
2,Xizhi,2024-05-31 04:00,44,Good,0.6,15,15
1,Keelung,2024-05-31 04:00,24,Good,0.9,10.5,8
313,Pingtung（fangshan）,2024-05-31 03:00,23,Good,20.6,1.7,0
312,Taichung（Rilana Elementary）,2024-05-31 03:00,22,Good,11.2,7.3,3
311,New Taipei(Shulin),2024-05-31 03:00,51,Moderate,5.6,7.1,14
204,Pingtung（Liuqiu）,2024-05-31 03:00,24,Good,25.7,0.7,6
