site_id,site_name,created_date,PM2.5,SO2,O3
23,Zhudong,2024-05-25 04:00,10.0,0.2,5.2
22,Hukou,2024-05-25 04:00,7.0,0.6,0.6
21,Longtan,2024-05-25 04:00,4.0,1.1,5.1
20,Pingzhen,2024-05-25 04:00,7.0,0.3,4.9
19,Guanyin,2024-05-25 04:00,11.0,0.6,1.7
18,Dayuan,2024-05-25 04:00,15.0,1.4,0.7
17,Taoyuan,2024-05-25 04:00,11.0,1.2,0.8
16,Datong,2024-05-25 04:00,12.0,0.4,3.5
15,Songshan,2024-05-25 04:00,8.0,0.7,8.2
14,Guting,2024-05-25 04:00,3.0,1.2,8.5
13,Wanhua,2024-05-25 04:00,8.0,0.6,1.0
12,Zhongshan,2024-05-25 04:00,9.0,0.3,6.7
11,Shilin,2024-05-25 04:00,6.0,0.6,7.0
10,Tamsui,2024-05-25 04:00,7.0,0.5,6.8
9,Linkou,2024-05-25 04:00,4.0,0.7,15.4
8,Cailiao,2024-05-25 04:00,8.0,0.7,3.8
7,Xinzhuang,2024-05-25 04:00,11.0,0.4,0.2
6,Banqiao,2024-05-25 04:00,1.0,0.6,9.8
5,Tucheng,2024-05-25 04:00,11.0,0.1,1.0
4,Xindian,2024-05-25 04:00,4.0,0.7,16.8
3,Wanli,2024-05-25 04:00,1.0,0.5,13.5
2,Xizhi,2024-05-25 04:00,8.0,0.7,1.5
1,Keelung,2024-05-25 04:00,2.0,0.2,4.3
313,Pingtung（fangshan）,2024-05-25 03:00,2.0,0.1,26.6
312,Taichung（Rilana Elementary）,2024-05-25 03:00,4.0,0.6,7.5
311,New Taipei(Shulin),2024-05-25 03:00,11.0,0.2,3.5
204,Pingtung（Liuqiu）,2024-05-25 03:00,17.0,0.8,17.3
203,Tainan（Madou）,2024-05-25 03:00,20.0,0.2,0.6
202,Kaohsiung（Hunei）,2024-05-25 03:00,17.0,0.4,10.9
201,Changhua（Yuanlin）,2024-05-25 03:00,12.0,1.8,8.2
85,Dacheng,2024-05-25 03:00,21.0,1.6,3.1
84,FugueiCape,2024-05-25 03:00,5.0,0.2,19.9
83,Mailiao,2024-05-25 03:00,19.0,1.5,2.5
80,Guanshan,2024-05-25 03:00,0.0,0.6,21.5
78,Magong,2024-05-25 03:00,6.0,0.7,30.8
77,Kinmen,2024-05-25 03:00,26.0,0.6,29.9
75,Matsu,2024-05-25 03:00,9.0,0.4,30.8
72,Puli,2024-05-25 03:00,7.0,1.6,9.2
71,Fuxing,2024-05-25 03:00,13.0,1.3,23.3
70,Yonghe,2024-05-25 03:00,8.0,0.6,7.3
69,Zhushan,2024-05-25 03:00,9.0,0.4,6.5
68,Zhongli,2024-05-25 03:00,8.0,0.8,3.6
67,Sanchong,2024-05-25 03:00,9.0,0.6,0.4
66,Dongshan,2024-05-25 03:00,6.0,0.0,11.2
65,Yilan,2024-05-25 03:00,2.0,1.1,15.4
64,Yangming,2024-05-25 03:00,1.0,0.4,23.8
63,Hualien,2024-05-25 03:00,8.0,0.4,14.9
62,Taitung,2024-05-25 03:00,0.0,0.6,23.3
61,Hengchun,2024-05-25 03:00,2.0,0.4,27.1
60,Chaozhou,2024-05-25 03:00,22.0,0.6,5.7
59,Pingtung,2024-05-25 03:00,18.0,0.6,10.2
58,Xiaogang,2024-05-25 03:00,15.0,1.2,15.0
57,Qianzhen,2024-05-25 03:00,11.0,1.3,22.0
56,Qianjin,2024-05-25 03:00,16.0,1.4,11.9
54,Zuoying,2024-05-25 03:00,16.0,2.3,12.6
53,Nanzi,2024-05-25 03:00,15.0,0.9,13.5
52,Linyuan,2024-05-25 03:00,19.0,1.3,13.1
51,Daliao,2024-05-25 03:00,21.0,5.5,5.5
50,Fengshan,2024-05-25 03:00,10.0,0.8,16.8
49,Renwu,2024-05-25 03:00,15.0,1.2,17.9
48,Qiaotou,2024-05-25 03:00,15.0,1.4,12.7
47,Meinong,2024-05-25 03:00,14.0,0.8,18.5
46,Tainan,2024-05-25 03:00,16.0,1.9,17.6
45,Annan,2024-05-25 03:00,24.0,1.7,3.7
44,Shanhua,2024-05-25 03:00,15.0,1.1,3.6
43,Xinying,2024-05-25 03:00,18.0,2.2,1.2
42,Chiayi,2024-05-25 03:00,8.0,0.5,10.0
41,Taixi,2024-05-25 03:00,19.0,1.4,3.9
40,Puzi,2024-05-25 03:00,27.0,0.7,0.1
39,Xingang,2024-05-25 03:00,23.0,1.0,2.5
38,Lunbei,2024-05-25 03:00,19.0,0.9,0.1
37,Douliu,2024-05-25 03:00,8.0,1.1,7.5
36,Nantou,2024-05-25 03:00,7.0,0.0,7.8
35,Erlin,2024-05-25 03:00,21.0,2.2,1.7
34,Xianxi,2024-05-25 03:00,14.0,1.7,0.8
33,Changhua,2024-05-25 03:00,11.0,0.8,1.8
32,Xitun,2024-05-25 03:00,14.0,1.7,4.1
31,Zhongming,2024-05-25 03:00,8.0,0.9,8.1
30,Dali,2024-05-25 03:00,13.0,0.8,2.6
29,Shalu,2024-05-25 03:00,11.0,0.8,5.1
28,Fengyuan,2024-05-25 03:00,7.0,0.6,12.1
27,Sanyi,2024-05-25 03:00,6.0,0.6,5.9
26,Miaoli,2024-05-25 03:00,5.0,1.2,1.4
25,Toufen,2024-05-25 03:00,8.0,1.6,3.6
24,Hsinchu,2024-05-25 03:00,4.0,,4.4
23,Zhudong,2024-05-25 03:00,13.0,0.1,6.6
22,Hukou,2024-05-25 03:00,9.0,0.2,0.4
21,Longtan,2024-05-25 03:00,6.0,1.0,6.3
20,Pingzhen,2024-05-25 03:00,11.0,0.5,4.0
19,Guanyin,2024-05-25 03:00,17.0,0.6,0.3
18,Dayuan,2024-05-25 03:00,8.0,1.3,0.9
17,Taoyuan,2024-05-25 03:00,9.0,2.9,2.4
16,Datong,2024-05-25 03:00,12.0,0.6,1.1
15,Songshan,2024-05-25 03:00,12.0,0.9,3.6
14,Guting,2024-05-25 03:00,4.0,1.2,11.0
13,Wanhua,2024-05-25 03:00,8.0,0.4,3.1
12,Zhongshan,2024-05-25 03:00,6.0,0.4,0.6
11,Shilin,2024-05-25 03:00,7.0,0.5,13.3
