siteid,sitename,datacreationdate,aqi,status,co,no,no2,o3,pm10,pm2.5,so2
45,Annan,2024-05-31 04:00,24,Good,0.32,2.6,3.3,21.5,22.0,6.0,1.2
44,Shanhua,2024-05-31 04:00,21,Good,0.09,1.2,1.8,20.8,14.0,6.0,0.2
43,Xinying,2024-05-31 04:00,19,Good,0.19,0.9,2.3,20.9,15.0,0.0,0.1
42,Chiayi,2024-05-31 04:00,19,Good,0.19,0.8,0.9,25.3,17.0,1.0,1.3
41,Taixi,2024-05-31 04:00,19,Good,0.11,1.0,2.3,21.1,16.0,0.0,1.3
40,Puzi,2024-05-31 04:00,16,Good,0.27,2.4,3.7,16.8,22.0,,1.2
39,Xingang,2024-05-31 04:00,21,Good,0.18,1.3,3.3,21.2,15.0,5.0,0.9
38,Lunbei,2024-05-31 04:00,19,Good,0.17,1.0,3.6,18.0,13.0,5.0,0.8
37,Douliu,2024-05-31 04:00,23,Good,0.27,1.3,4.4,10.8,23.0,5.0,1.7
36,Nantou,2024-05-31 04:00,28,Good,0.21,1.1,4.3,3.4,14.0,3.0,0.5
35,Erlin,2024-05-31 04:00,42,Good,0.16,1.7,3.2,17.4,17.0,8.0,0.7
34,Xianxi,2024-05-31 04:00,27,Good,0.19,1.4,6.6,11.5,11.0,5.0,0.5
33,Changhua,2024-05-31 04:00,19,Good,0.19,1.7,7.1,9.2,20.0,3.0,0.4
32,Xitun,2024-05-31 04:00,26,Good,0.21,0.8,8.1,5.4,22.0,6.0,1.1
31,Zhongming,2024-05-31 04:00,25,Good,0.29,1.0,4.6,8.5,18.0,8.0,1.2
30,Dali,2024-05-31 04:00,24,Good,0.28,0.6,4.3,7.5,14.0,2.0,1.6
29,Shalu,2024-05-31 04:00,24,Good,0.27,0.3,7.1,12.0,31.0,5.0,1.2
28,Fengyuan,2024-05-31 04:00,18,Good,0.22,1.0,4.2,14.3,20.0,3.0,0.8
27,Sanyi,2024-05-31 04:00,23,Good,0.19,1.2,1.0,18.2,18.0,6.0,0.8
26,Miaoli,2024-05-31 04:00,40,Good,0.22,1.0,9.7,0.9,20.0,10.0,1.2
25,Toufen,2024-05-31 04:00,34,Good,0.27,1.5,6.0,6.1,26.0,9.0,1.3
24,Hsinchu,2024-05-31 04:00,32,Good,0.34,0.7,12.0,5.4,23.0,9.0,3.9
23,Zhudong,2024-05-31 04:00,53,Moderate,0.31,0.5,4.7,5.9,21.0,14.0,0.1
