siteid,sitename,datacreationdate,aqi,status,pm2.5,co
203,Tainan（Madou）,2024-05-31 08:00,17,Good,9,0.26
202,Kaohsiung（Hunei）,2024-05-31 08:00,13,Good,1,0.22
201,Changhua（Yuanlin）,2024-05-31 08:00,26,Good,3,0.19
85,Dacheng,2024-05-31 08:00,17,Good,0,0.07
84,FugueiCape,2024-05-31 08:00,35,Good,16,0.26
83,Mailiao,2024-05-31 08:00,18,Good,3,0.21
80,Guanshan,2024-05-31 08:00,25,Good,2,0.14
78,Magong,2024-05-31 08:00,23,Good,6,0.17
77,Kinmen,2024-05-31 08:00,84,Moderate,30,0.45
75,Matsu,2024-05-31 08:00,52,Moderate,16,0.66
72,Puli,2024-05-31 08:00,26,Good,7,0.23
71,Fuxing,2024-05-31 08:00,25,Good,6,0.71
70,Yonghe,2024-05-31 08:00,32,Good,8,0.91
69,Zhushan,2024-05-31 08:00,32,Good,5,0.13
68,Zhongli,2024-05-31 08:00,51,Moderate,11,1.64
67,Sanchong,2024-05-31 08:00,35,Good,11,0.95
66,Dongshan,2024-05-31 08:00,25,Good,6,0.33
65,Yilan,2024-05-31 08:00,17,Good,5,0.22
64,Yangming,2024-05-31 08:00,26,Good,4,0.14
63,Hualien,2024-05-31 08:00,19,Good,8,0.26
62,Taitung,2024-05-31 08:00,23,Good,2,0.2
61,Hengchun,2024-05-31 08:00,24,Good,6,0.07
60,Chaozhou,2024-05-31 08:00,21,Good,2,0.09
59,Pingtung,2024-05-31 08:00,21,Good,5,0.38
58,Xiaogang,2024-05-31 08:00,49,Good,12,0.64
57,Qianzhen,2024-05-31 08:00,27,Good,5,0.59
56,Qianjin,2024-05-31 08:00,17,Good,8,0.41
54,Zuoying,2024-05-31 08:00,25,Good,10,0.45
53,Nanzi,2024-05-31 08:00,28,Good,8,0.5
52,Linyuan,2024-05-31 08:00,27,Good,4,0.18
51,Daliao,2024-05-31 08:00,16,Good,5,0.17
50,Fengshan,2024-05-31 08:00,15,Good,5,0.48
49,Renwu,2024-05-31 08:00,19,Good,2,0.3
48,Qiaotou,2024-05-31 08:00,15,Good,4,0.23
47,Meinong,2024-05-31 08:00,18,Good,4,0.17
46,Tainan,2024-05-31 08:00,18,Good,3,0.25
45,Annan,2024-05-31 08:00,19,Good,4,0.31
44,Shanhua,2024-05-31 08:00,18,Good,2,0.11
43,Xinying,2024-05-31 08:00,19,Good,1,0.21
42,Chiayi,2024-05-31 08:00,19,Good,3,0.26
41,Taixi,2024-05-31 08:00,19,Good,1,0.13
40,Puzi,2024-05-31 08:00,16,Good,,0.2
39,Xingang,2024-05-31 08:00,19,Good,5,0.14
38,Lunbei,2024-05-31 08:00,16,Good,4,0.12
37,Douliu,2024-05-31 08:00,23,Good,8,0.28
36,Nantou,2024-05-31 08:00,30,Good,3,0.23
35,Erlin,2024-05-31 08:00,36,Good,10,0.13
34,Xianxi,2024-05-31 08:00,25,Good,7,0.17
33,Changhua,2024-05-31 08:00,16,Good,3,0.17
32,Xitun,2024-05-31 08:00,26,Good,8,0.28
31,Zhongming,2024-05-31 08:00,21,Good,7,0.36
30,Dali,2024-05-31 08:00,22,Good,8,0.38
29,Shalu,2024-05-31 08:00,19,Good,4,0.21
28,Fengyuan,2024-05-31 08:00,17,Good,0,0.22
27,Sanyi,2024-05-31 08:00,18,Good,3,0.11
26,Miaoli,2024-05-31 08:00,33,Good,6,0.15
25,Toufen,2024-05-31 08:00,31,Good,8,0.29
24,Hsinchu,2024-05-31 08:00,35,Good,9,0.32
23,Zhudong,2024-05-31 08:00,42,Good,14,0.25
22,Hukou,2024-05-31 08:00,50,Good,14,0.26
21,Longtan,2024-05-31 08:00,41,Good,8,0.29
