level_0,aqi,co,datacreationdate,index,no,no2,o3,pm10,pm2.5,siteid,sitename,so2,status
87,51,0.47,2024-05-31 04:00,87,1.8,6.5,5.5,22.0,15.0,311,New Taipei(Shulin),2.7,Moderate
88,24,0.11,2024-05-31 04:00,88,1.3,0.6,24.4,9.0,7.0,204,Pingtung（Liuqiu）,0.7,Good
89,18,0.17,2024-05-31 04:00,89,1.2,3.2,19.0,15.0,5.0,203,Tainan（Madou）,0.4,Good
90,16,0.18,2024-05-31 04:00,90,2.6,6.2,14.1,15.0,4.0,202,Kaohsiung（Hunei）,0.5,Good
91,36,0.28,2024-05-31 04:00,91,0.9,7.3,9.2,26.0,14.0,201,Changhua（Yuanlin）,2.2,Good
92,15,0.1,2024-05-31 04:00,92,0.6,0.9,20.5,19.0,2.0,85,Dacheng,1.0,Good
93,32,0.13,2024-05-31 04:00,93,0.1,6.0,18.1,26.0,15.0,84,FugueiCape,0.2,Good
94,19,0.17,2024-05-31 04:00,94,0.0,2.2,21.0,17.0,3.0,83,Mailiao,1.2,Good
95,23,0.12,2024-05-31 04:00,95,0.3,1.9,3.7,6.0,5.0,80,Guanshan,0.6,Good
96,25,0.18,2024-05-31 04:00,96,1.3,3.6,25.1,4.0,1.0,78,Magong,1.0,Good
97,83,0.37,2024-05-31 04:00,97,0.5,26.0,3.7,38.0,32.0,77,Kinmen,1.7,Moderate
98,40,0.18,2024-05-31 04:00,98,0.5,4.2,37.5,19.0,17.0,75,Matsu,0.7,Good
99,30,0.32,2024-05-31 04:00,99,1.6,2.4,5.8,15.0,6.0,72,Puli,1.0,Good
100,18,0.33,2024-05-31 04:00,100,2.7,3.7,20.2,12.0,2.0,71,Fuxing,2.2,Good
101,41,0.82,2024-05-31 04:00,101,7.6,3.8,7.4,13.0,6.0,70,Yonghe,0.8,Good
102,26,0.21,2024-05-31 04:00,102,0.5,4.0,3.4,13.0,7.0,69,Zhushan,1.1,Good
103,54,1.08,2024-05-31 04:00,103,22.9,19.2,3.4,19.0,20.0,68,Zhongli,1.8,Moderate
104,39,2.07,2024-05-31 04:00,104,77.7,8.8,6.4,20.0,11.0,67,Sanchong,1.2,Good
105,25,0.21,2024-05-31 04:00,105,1.1,5.8,2.6,20.0,9.0,66,Dongshan,0.5,Good
106,15,0.2,2024-05-31 04:00,106,0.4,2.7,7.0,18.0,0.0,65,Yilan,0.9,Good
107,28,0.16,2024-05-31 04:00,107,0.5,1.5,30.0,10.0,6.0,64,Yangming,1.0,Good
108,20,0.27,2024-05-31 04:00,108,0.7,1.3,6.8,14.0,4.0,63,Hualien,0.3,Good
109,18,0.3,2024-05-31 04:00,109,2.3,2.9,7.0,7.0,5.0,62,Taitung,0.3,Good
110,25,0.1,2024-05-31 04:00,110,0.6,0.5,29.4,9.0,4.0,61,Hengchun,0.6,Good
111,15,0.11,2024-05-31 04:00,111,0.2,1.3,15.5,13.0,2.0,60,Chaozhou,0.9,Good
112,19,0.28,2024-05-31 04:00,112,0.8,3.8,15.5,13.0,2.0,59,Pingtung,0.5,Good
113,31,0.5,2024-05-31 04:00,113,1.2,8.3,15.5,11.0,7.0,58,Xiaogang,3.7,Good
114,17,0.7,2024-05-31 04:00,114,6.6,4.5,21.1,12.0,0.0,57,Qianzhen,2.5,Good
115,18,0.16,2024-05-31 04:00,115,0.5,4.3,19.9,11.0,1.0,56,Qianjin,1.2,Good
116,22,0.25,2024-05-31 04:00,116,0.7,4.4,19.8,14.0,4.0,54,Zuoying,1.6,Good
117,17,0.28,2024-05-31 04:00,117,0.8,6.1,18.5,17.0,3.0,53,Nanzi,0.6,Good
118,23,0.1,2024-05-31 04:00,118,0.7,2.2,14.4,21.0,4.0,52,Linyuan,0.8,Good
119,19,0.12,2024-05-31 04:00,119,0.3,4.7,12.5,21.0,4.0,51,Daliao,0.3,Good
120,20,0.38,2024-05-31 04:00,120,1.3,3.1,16.8,18.0,0.0,50,Fengshan,1.3,Good
121,22,0.28,2024-05-31 04:00,121,1.0,2.5,22.0,7.0,3.0,49,Renwu,,Good
122,18,0.39,2024-05-31 04:00,122,0.5,3.2,18.0,33.0,0.0,48,Qiaotou,1.5,Good
