siteid,sitename,datacreationdate,aqi,status,index,co,no,no2,o3,pm10,pm2.5,so2
17,Taoyuan,2024-05-31 01:00,43,Good,153.0,0.33,0.5,12.0,22.3,25.0,11.0,1.4
16,Datong,2024-05-31 01:00,37,Good,154.0,0.83,10.1,16.3,3.9,20.0,10.0,0.8
15,Songshan,2024-05-31 01:00,46,Good,155.0,0.49,4.9,21.2,4.5,18.0,12.0,0.5
14,Guting,2024-05-31 01:00,27,Good,156.0,0.24,1.2,6.7,8.3,15.0,8.0,1.9
13,Wanhua,2024-05-31 01:00,39,Good,157.0,0.33,1.3,10.9,8.1,14.0,9.0,0.3
12,Zhongshan,2024-05-31 01:00,33,Good,158.0,0.37,1.1,13.3,8.2,8.0,11.0,0.6
11,Shilin,2024-05-31 01:00,38,Good,159.0,0.43,1.4,23.4,4.4,25.0,12.0,0.6
10,Tamsui,2024-05-31 01:00,36,Good,160.0,0.35,1.2,11.5,11.8,22.0,10.0,0.9
9,Linkou,2024-05-31 01:00,30,Good,161.0,0.27,,,18.9,25.0,9.0,3.1
8,Cailiao,2024-05-31 01:00,33,Good,162.0,0.46,1.4,18.3,7.8,21.0,13.0,1.0
7,Xinzhuang,2024-05-31 01:00,50,Good,163.0,0.57,1.1,20.4,8.7,23.0,22.0,0.9
6,Banqiao,2024-05-31 01:00,42,Good,164.0,0.55,2.7,25.0,2.9,28.0,13.0,0.9
5,Tucheng,2024-05-31 01:00,59,Moderate,165.0,0.47,2.6,20.4,4.0,32.0,19.0,0.2
4,Xindian,2024-05-31 01:00,36,Good,166.0,0.23,1.3,5.0,8.6,28.0,12.0,0.8
3,Wanli,2024-05-31 01:00,28,Good,167.0,0.28,1.1,6.1,6.8,27.0,9.0,0.0
2,Xizhi,2024-05-31 01:00,44,Good,168.0,0.48,14.9,18.7,0.4,25.0,13.0,1.7
1,Keelung,2024-05-31 01:00,28,Good,169.0,0.48,10.6,17.5,0.7,29.0,7.0,1.0
