siteid,sitename,datacreationdate,aqi,status,level_0,co,index,no,no2,o3,pm10,pm2.5,so2
40,Puzi,2024-05-30 19:00,34,Good,130,0.27,130,2.4,3.7,34.0,22.0,,1.2
39,Xingang,2024-05-30 19:00,43,Good,131,0.18,131,1.3,3.3,39.0,15.0,5.0,0.9
38,Lunbei,2024-05-30 19:00,41,Good,132,0.17,132,1.0,3.6,34.5,13.0,5.0,0.8
37,Douliu,2024-05-30 19:00,43,Good,133,0.27,133,1.3,4.4,34.5,23.0,5.0,1.7
36,Nantou,2024-05-30 19:00,45,Good,134,0.21,134,1.1,4.3,25.6,14.0,3.0,0.5
35,Erlin,2024-05-30 19:00,51,Moderate,135,0.16,135,1.7,3.2,37.7,17.0,8.0,0.7
34,Xianxi,2024-05-30 19:00,50,Good,136,0.19,136,1.4,6.6,35.4,11.0,5.0,0.5
33,Changhua,2024-05-30 19:00,67,Moderate,137,0.19,137,1.7,7.1,39.0,20.0,3.0,0.4
32,Xitun,2024-05-30 19:00,64,Moderate,138,0.21,138,0.8,8.1,37.5,22.0,6.0,1.1
31,Zhongming,2024-05-30 19:00,37,Good,139,0.29,139,1.0,4.6,31.4,18.0,8.0,1.2
30,Dali,2024-05-30 19:00,58,Moderate,140,0.28,140,0.6,4.3,26.8,14.0,2.0,1.6
29,Shalu,2024-05-30 19:00,58,Moderate,141,0.27,141,0.3,7.1,40.6,31.0,5.0,1.2
28,Fengyuan,2024-05-30 19:00,71,Moderate,142,0.22,142,1.0,4.2,35.2,20.0,3.0,0.8
27,Sanyi,2024-05-30 19:00,51,Moderate,143,0.19,143,1.2,1.0,37.7,18.0,6.0,0.8
26,Miaoli,2024-05-30 19:00,67,Moderate,144,0.22,144,1.0,9.7,40.4,20.0,10.0,1.2
25,Toufen,2024-05-30 19:00,50,Good,145,0.27,145,1.5,6.0,39.4,26.0,9.0,1.3
24,Hsinchu,2024-05-30 19:00,47,Good,146,0.34,146,0.7,12.0,35.7,23.0,9.0,3.9
23,Zhudong,2024-05-30 19:00,58,Moderate,147,0.31,147,0.5,4.7,30.1,21.0,14.0,0.1
22,Hukou,2024-05-30 19:00,54,Moderate,148,0.24,148,0.8,10.4,33.9,24.0,13.0,6.7
21,Longtan,2024-05-30 19:00,49,Good,149,0.32,149,0.4,12.5,35.4,25.0,15.0,1.4
20,Pingzhen,2024-05-30 19:00,38,Good,150,0.35,150,0.2,22.7,23.6,28.0,21.0,0.7
19,Guanyin,2024-05-30 19:00,51,Moderate,151,0.22,151,0.5,11.2,31.8,21.0,17.0,21.4
18,Dayuan,2024-05-30 19:00,36,Good,152,0.36,152,1.8,12.6,26.0,28.0,15.0,2.1
17,Taoyuan,2024-05-30 19:00,52,Moderate,153,0.49,153,1.9,22.7,12.0,29.0,19.0,2.0
16,Datong,2024-05-30 19:00,48,Good,154,1.41,154,20.6,8.8,14.0,21.0,12.0,1.8
15,Songshan,2024-05-30 19:00,36,Good,155,0.47,155,6.1,10.9,17.5,13.0,9.0,0.2
14,Guting,2024-05-30 19:00,38,Good,156,0.45,156,1.6,3.2,24.8,11.0,7.0,0.4
13,Wanhua,2024-05-30 19:00,42,Good,157,0.64,157,1.7,7.1,21.2,21.0,8.0,0.6
12,Zhongshan,2024-05-30 19:00,52,Moderate,158,0.84,158,13.7,7.0,11.4,14.0,5.0,1.0
11,Shilin,2024-05-30 19:00,35,Good,159,0.35,159,1.1,10.1,21.0,23.0,17.0,0.5
10,Tamsui,2024-05-30 19:00,42,Good,160,0.26,160,2.5,19.2,21.2,27.0,14.0,2.9
9,Linkou,2024-05-30 19:00,40,Good,161,0.18,161,0.6,22.8,36.3,13.0,12.0,0.9
8,Cailiao,2024-05-30 19:00,38,Good,162,0.48,162,1.1,13.1,25.6,18.0,8.0,0.9
7,Xinzhuang,2024-05-30 19:00,40,Good,163,0.55,163,3.3,16.1,18.7,13.0,20.0,0.7
6,Banqiao,2024-05-30 19:00,41,Good,164,0.55,164,1.3,16.6,24.1,17.0,12.0,1.0
5,Tucheng,2024-05-30 19:00,51,Moderate,165,0.65,165,1.5,13.0,16.3,28.0,20.0,2.3
4,Xindian,2024-05-30 19:00,42,Good,166,0.39,166,1.6,2.6,27.4,13.0,12.0,0.6
3,Wanli,2024-05-30 19:00,39,Good,167,0.29,167,1.6,6.9,18.9,27.0,6.0,0.4
