siteid,sitename,datacreationdate,aqi,status,pm2.5
44,Shanhua,2024-05-31 05:00,19,Good,4
43,Xinying,2024-05-31 05:00,19,Good,0
42,Chiayi,2024-05-31 05:00,18,Good,0
41,Taixi,2024-05-31 05:00,18,Good,0
40,Puzi,2024-05-31 05:00,16,Good,
39,Xingang,2024-05-31 05:00,20,Good,5
38,Lunbei,2024-05-31 05:00,20,Good,6
37,Douliu,2024-05-31 05:00,23,Good,4
36,Nantou,2024-05-31 05:00,28,Good,1
35,Erlin,2024-05-31 05:00,41,Good,10
34,Xianxi,2024-05-31 05:00,26,Good,4
33,Changhua,2024-05-31 05:00,18,Good,5
32,Xitun,2024-05-31 05:00,24,Good,7
31,Zhongming,2024-05-31 05:00,23,Good,5
30,Dali,2024-05-31 05:00,21,Good,6
29,Shalu,2024-05-31 05:00,22,Good,6
28,Fengyuan,2024-05-31 05:00,18,Good,3
27,Sanyi,2024-05-31 05:00,21,Good,5
26,Miaoli,2024-05-31 05:00,38,Good,10
25,Toufen,2024-05-31 05:00,34,Good,11
24,Hsinchu,2024-05-31 05:00,33,Good,13
23,Zhudong,2024-05-31 05:00,52,Moderate,18
22,Hukou,2024-05-31 05:00,50,Good,15
21,Longtan,2024-05-31 05:00,54,Moderate,11
20,Pingzhen,2024-05-31 05:00,53,Moderate,20
19,Guanyin,2024-05-31 05:00,44,Good,15
18,Dayuan,2024-05-31 05:00,52,Moderate,17
17,Taoyuan,2024-05-31 05:00,57,Moderate,22
16,Datong,2024-05-31 05:00,38,Good,10
15,Songshan,2024-05-31 05:00,41,Good,11
14,Guting,2024-05-31 05:00,23,Good,7
13,Wanhua,2024-05-31 05:00,28,Good,6
12,Zhongshan,2024-05-31 05:00,26,Good,5
11,Shilin,2024-05-31 05:00,42,Good,11
10,Tamsui,2024-05-31 05:00,38,Good,11
9,Linkou,2024-05-31 05:00,36,Good,11
8,Cailiao,2024-05-31 05:00,32,Good,8
7,Xinzhuang,2024-05-31 05:00,55,Moderate,20
6,Banqiao,2024-05-31 05:00,41,Good,15
5,Tucheng,2024-05-31 05:00,56,Moderate,19
4,Xindian,2024-05-31 05:00,35,Good,9
3,Wanli,2024-05-31 05:00,22,Good,5
2,Xizhi,2024-05-31 05:00,46,Good,16
1,Keelung,2024-05-31 05:00,24,Good,7
313,Pingtung（fangshan）,2024-05-31 04:00,22,Good,0
312,Taichung（Rilana Elementary）,2024-05-31 04:00,20,Good,1
311,New Taipei(Shulin),2024-05-31 04:00,51,Moderate,15
204,Pingtung（Liuqiu）,2024-05-31 04:00,24,Good,7
