siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5,no,so2,co,pm10
204,Pingtung（Liuqiu）,2024-05-31 01:00,26,Good,24.2,0.9,5,1.2,0.6,0.06,7
203,Tainan（Madou）,2024-05-31 01:00,19,Good,18.2,4.6,4,0.9,0.5,0.13,17
202,Kaohsiung（Hunei）,2024-05-31 01:00,15,Good,15.6,8.3,4,1.1,1.1,0.17,10
201,Changhua（Yuanlin）,2024-05-31 01:00,44,Good,14.4,7.9,12,0.5,1.6,0.22,20
85,Dacheng,2024-05-31 01:00,20,Good,12.3,6,5,0.1,0.9,0.13,15
84,FugueiCape,2024-05-31 01:00,30,Good,28.8,5.4,5,0.1,0.5,0.16,23
83,Mailiao,2024-05-31 01:00,22,Good,17,6.1,5,0.3,1.5,0.16,15
80,Guanshan,2024-05-31 01:00,18,Good,6,1.7,2,0.2,0.4,0.11,35
78,Magong,2024-05-31 01:00,27,Good,29.7,2.6,1,1,1,0.1,4
77,Kinmen,2024-05-31 01:00,76,Moderate,2.8,25.9,30,1.6,1.6,0.33,35
75,Matsu,2024-05-31 01:00,39,Good,28.6,14.9,12,0.8,1.3,0.2,18
72,Puli,2024-05-31 01:00,35,Good,8.9,3.8,10,1.4,0.9,0.19,22
71,Fuxing,2024-05-31 01:00,20,Good,14.3,12.2,5,1.8,1.4,0.37,8
70,Yonghe,2024-05-31 01:00,59,Moderate,6.5,10.1,16,1.7,0.9,0.37,8
69,Zhushan,2024-05-31 01:00,30,Good,5.1,4.3,5,0.6,0.8,0.12,31
68,Zhongli,2024-05-31 01:00,46,Good,12.4,22.9,13,4.5,1.7,0.61,34
67,Sanchong,2024-05-31 01:00,50,Good,2.6,30.3,16,25.4,1.1,0.86,22
66,Dongshan,2024-05-31 01:00,24,Good,8.9,3.7,12,0.6,0.6,0.31,21
65,Yilan,2024-05-31 01:00,23,Good,8,2.7,9,0.4,0.4,0.17,12
64,Yangming,2024-05-31 01:00,25,Good,29.9,2.3,11,0.5,0.7,0.16,17
63,Hualien,2024-05-31 01:00,25,Good,15.4,1.7,7,0.2,0.3,0.17,16
62,Taitung,2024-05-31 01:00,19,Good,9.7,1.9,1,1.6,0,0.12,23
61,Hengchun,2024-05-31 01:00,27,Good,27.6,0.8,1,0.5,0.3,0.1,9
60,Chaozhou,2024-05-31 01:00,19,Good,22.3,0.7,0,0.2,0.5,0.06,10
59,Pingtung,2024-05-31 01:00,21,Good,24.8,2.5,4,0.4,0.4,0.1,8
58,Xiaogang,2024-05-31 01:00,40,Good,13.3,20.1,24,4.8,16.6,0.64,23
57,Qianzhen,2024-05-31 01:00,18,Good,14.9,11.4,3,1.3,1.7,0.29,14
56,Qianjin,2024-05-31 01:00,19,Good,17.8,9.5,2,0,1,0.16,13
54,Zuoying,2024-05-31 01:00,31,Good,17.7,7.7,8,0,1.6,0.18,3
53,Nanzi,2024-05-31 01:00,19,Good,17.4,11.2,4,0.6,1.1,0.22,7
52,Linyuan,2024-05-31 01:00,29,Good,26.9,0.8,0,0.7,0.6,0.1,14
51,Daliao,2024-05-31 01:00,24,Good,23.5,1.8,4,0.2,0.3,0.09,11
50,Fengshan,2024-05-31 01:00,21,Good,21.4,5.1,3,0.6,0.7,0.19,8
49,Renwu,2024-05-31 01:00,24,Good,22.9,7.1,5,0.8,3.3,0.2,6
48,Qiaotou,2024-05-31 01:00,19,Good,16.5,9.9,6,0.3,1.7,0.3,7
47,Meinong,2024-05-31 01:00,19,Good,19.2,2.3,4,1.2,0.5,0.12,14
46,Tainan,2024-05-31 01:00,28,Good,15.5,11.3,7,0.5,2.3,0.19,16
45,Annan,2024-05-31 01:00,26,Good,16.7,11.6,6,1.7,2.4,0.24,11
44,Shanhua,2024-05-31 01:00,27,Good,17.9,2.8,9,1.2,0.2,0.1,13
43,Xinying,2024-05-31 01:00,22,Good,20.6,3.1,2,0.4,0,0.12,13
42,Chiayi,2024-05-31 01:00,22,Good,13.8,5.7,4,1.2,1.3,0.14,18
41,Taixi,2024-05-31 01:00,21,Good,18.4,4.9,3,0.9,1.6,0.15,17
40,Puzi,2024-05-31 01:00,19,Good,16.4,5.9,,1.3,1.4,0.16,21
39,Xingang,2024-05-31 01:00,27,Good,19.5,3.5,7,1.5,0.2,0.12,18
38,Lunbei,2024-05-31 01:00,26,Good,13.8,2.7,4,1.5,0.8,0.17,16
37,Douliu,2024-05-31 01:00,25,Good,9.4,2.7,5,1.1,0.9,0.13,23
36,Nantou,2024-05-31 01:00,26,Good,5.3,5.5,5,0.8,0.2,0.15,32
35,Erlin,2024-05-31 01:00,47,Good,8.8,8.3,10,0.8,0.4,0.16,29
34,Xianxi,2024-05-31 01:00,35,Good,14.4,4.1,5,1.2,0.4,0.18,31
33,Changhua,2024-05-31 01:00,33,Good,15.9,8.7,6,1.6,0.9,0.19,20
32,Xitun,2024-05-31 01:00,34,Good,7.7,9.8,10,1.2,0.8,0.2,29
31,Zhongming,2024-05-31 01:00,27,Good,11.8,6.6,6,1,0.7,0.22,21
30,Dali,2024-05-31 01:00,39,Good,8.4,7,9,0.6,1.2,0.23,20
29,Shalu,2024-05-31 01:00,33,Good,16.6,8.5,8,0,0.9,0.23,16
28,Fengyuan,2024-05-31 01:00,24,Good,18.3,4.9,6,0.8,0,0.19,23
27,Sanyi,2024-05-31 01:00,29,Good,17.6,2.1,6,0.9,0.5,0.17,18
26,Miaoli,2024-05-31 01:00,44,Good,7.9,13,13,1.5,1.2,0.25,22
25,Toufen,2024-05-31 01:00,40,Good,11.7,8.6,12,1.4,1.3,0.26,25
24,Hsinchu,2024-05-31 01:00,33,Good,25.6,10.8,12,0.9,2,0.28,25
23,Zhudong,2024-05-31 01:00,53,Moderate,7.7,5.5,19,0.5,0.2,0.25,37
22,Hukou,2024-05-31 01:00,50,Good,21.5,7.8,13,0.6,0.5,0.24,23
21,Longtan,2024-05-31 01:00,57,Moderate,0.5,24.2,21,5.1,0.9,0.43,44
20,Pingzhen,2024-05-31 01:00,40,Good,14.4,24.2,12,0,0.8,0.31,46
