siteid,sitename,datacreationdate,aqi,status,no2,pm2.5,o3,co,pm10,no,so2
7,Xinzhuang,2024-05-30 19:00,40,Good,24.7,11.0,18.7,0.55,13.0,3.3,0.7
6,Banqiao,2024-05-30 19:00,41,Good,21.0,8.0,24.1,0.55,17.0,1.3,1.0
5,Tucheng,2024-05-30 19:00,51,Moderate,31.6,18.0,16.3,0.65,28.0,1.5,2.3
4,Xindian,2024-05-30 19:00,42,Good,11.8,6.0,27.4,0.39,13.0,1.6,0.6
3,Wanli,2024-05-30 19:00,39,Good,12.6,5.0,18.9,0.29,27.0,1.6,0.4
2,Xizhi,2024-05-30 19:00,52,Moderate,32.9,14.0,8.9,0.44,27.0,3.6,4.0
1,Keelung,2024-05-30 19:00,27,Good,16.6,4.0,5.1,0.47,19.0,5.2,1.4
313,Pingtung（fangshan）,2024-05-30 18:00,33,Good,,,36.0,0.09,14.0,0.1,0.0
312,Taichung（Rilana Elementary）,2024-05-30 18:00,50,Good,,,43.4,0.1,32.0,0.3,0.6
311,New Taipei(Shulin),2024-05-30 18:00,49,Good,,,16.8,0.41,23.0,1.5,5.9
204,Pingtung（Liuqiu）,2024-05-30 18:00,27,Good,,,30.2,0.1,10.0,1.2,0.7
203,Tainan（Madou）,2024-05-30 18:00,32,Good,,,32.4,0.19,22.0,1.9,0.0
202,Kaohsiung（Hunei）,2024-05-30 18:00,26,Good,,,24.2,0.26,16.0,2.9,1.2
201,Changhua（Yuanlin）,2024-05-30 18:00,52,Moderate,,,25.8,0.39,22.0,5.8,1.8
85,Dacheng,2024-05-30 18:00,64,Moderate,,,43.0,0.09,18.0,0.5,1.0
84,FugueiCape,2024-05-30 18:00,44,Good,,,42.9,0.14,39.0,0.2,0.2
83,Mailiao,2024-05-30 18:00,49,Good,,,28.5,0.15,11.0,1.1,1.2
80,Guanshan,2024-05-30 18:00,30,Good,,,,0.15,4.0,0.4,0.4
78,Magong,2024-05-30 18:00,42,Good,,,31.6,0.23,7.0,1.9,1.1
77,Kinmen,2024-05-30 18:00,72,Moderate,,,46.7,0.35,37.0,0.5,1.7
75,Matsu,2024-05-30 18:00,47,Good,,,50.5,0.18,24.0,0.5,0.9
