siteid,sitename,datacreationdate,aqi,status,o3,co,pm10,no,so2
58,Xiaogang,2024-05-30 19:00,29,Good,22.7,0.5,11,1.2,3.7
57,Qianzhen,2024-05-30 19:00,32,Good,14.4,0.7,12,6.6,2.5
56,Qianjin,2024-05-30 19:00,22,Good,21.2,0.16,11,0.5,1.2
54,Zuoying,2024-05-30 19:00,30,Good,22.1,0.25,14,0.7,1.6
53,Nanzi,2024-05-30 19:00,24,Good,24,0.28,17,0.8,0.6
52,Linyuan,2024-05-30 19:00,31,Good,33.8,0.1,21,0.7,0.8
51,Daliao,2024-05-30 19:00,27,Good,28.4,0.12,21,0.3,0.3
50,Fengshan,2024-05-30 19:00,25,Good,22.8,0.38,18,1.3,1.3
49,Renwu,2024-05-30 19:00,28,Good,27,0.28,7,1,
48,Qiaotou,2024-05-30 19:00,24,Good,20.5,0.39,33,0.5,1.5
47,Meinong,2024-05-30 19:00,31,Good,31,0.13,17,1.3,0.7
46,Tainan,2024-05-30 19:00,34,Good,25.3,0.28,19,0.9,1.2
45,Annan,2024-05-30 19:00,34,Good,24,0.32,22,2.6,1.2
44,Shanhua,2024-05-30 19:00,31,Good,27.6,0.09,14,1.2,0.2
43,Xinying,2024-05-30 19:00,39,Good,30.1,0.19,15,0.9,0.1
42,Chiayi,2024-05-30 19:00,43,Good,33.4,0.19,17,0.8,1.3
41,Taixi,2024-05-30 19:00,47,Good,31.3,0.11,16,1,1.3
40,Puzi,2024-05-30 19:00,34,Good,34,0.27,22,2.4,1.2
39,Xingang,2024-05-30 19:00,43,Good,39,0.18,15,1.3,0.9
38,Lunbei,2024-05-30 19:00,41,Good,34.5,0.17,13,1,0.8
37,Douliu,2024-05-30 19:00,43,Good,34.5,0.27,23,1.3,1.7
36,Nantou,2024-05-30 19:00,45,Good,25.6,0.21,14,1.1,0.5
35,Erlin,2024-05-30 19:00,51,Moderate,37.7,0.16,17,1.7,0.7
34,Xianxi,2024-05-30 19:00,50,Good,35.4,0.19,11,1.4,0.5
33,Changhua,2024-05-30 19:00,67,Moderate,39,0.19,20,1.7,0.4
32,Xitun,2024-05-30 19:00,64,Moderate,37.5,0.21,22,0.8,1.1
31,Zhongming,2024-05-30 19:00,37,Good,31.4,0.29,18,1,1.2
30,Dali,2024-05-30 19:00,58,Moderate,26.8,0.28,14,0.6,1.6
29,Shalu,2024-05-30 19:00,58,Moderate,40.6,0.27,31,0.3,1.2
