pm10,o3,co,no2,no,so2,siteid,sitename,datacreationdate,aqi,status,pm2.5
24.0,8.8,0.45,17.1,0.9,1.2,7,Xinzhuang,2024-05-31 02:00,50,Good,
26.0,2.8,0.5,20.9,1.5,0.6,6,Banqiao,2024-05-31 02:00,42,Good,
23.0,1.9,0.46,18.6,4.0,0.3,5,Tucheng,2024-05-31 02:00,57,Moderate,
21.0,9.9,0.21,3.9,1.3,1.1,4,Xindian,2024-05-31 02:00,35,Good,
21.0,6.3,0.34,10.9,0.8,0.4,3,Wanli,2024-05-31 02:00,26,Good,
19.0,0.6,0.49,16.0,13.2,1.2,2,Xizhi,2024-05-31 02:00,43,Good,
21.0,1.8,0.39,13.6,2.2,0.6,1,Keelung,2024-05-31 02:00,22,Good,
13.0,29.2,0.08,1.8,0.0,0.0,313,Pingtung（fangshan）,2024-05-31 01:00,26,Good,
12.0,19.7,0.03,8.8,2.1,0.3,312,Taichung（Rilana Elementary）,2024-05-31 01:00,28,Good,
27.0,8.8,0.28,7.9,0.6,0.8,311,New Taipei(Shulin),2024-05-31 01:00,51,Moderate,
7.0,24.2,0.06,0.9,1.2,0.6,204,Pingtung（Liuqiu）,2024-05-31 01:00,26,Good,
17.0,18.2,0.13,4.6,0.9,0.5,203,Tainan（Madou）,2024-05-31 01:00,19,Good,
10.0,15.6,0.17,8.3,1.1,1.1,202,Kaohsiung（Hunei）,2024-05-31 01:00,15,Good,
20.0,14.4,0.22,7.9,0.5,1.6,201,Changhua（Yuanlin）,2024-05-31 01:00,44,Good,
15.0,12.3,0.13,6.0,0.1,0.9,85,Dacheng,2024-05-31 01:00,20,Good,
23.0,28.8,0.16,5.4,0.1,0.5,84,FugueiCape,2024-05-31 01:00,30,Good,
15.0,17.0,0.16,6.1,0.3,1.5,83,Mailiao,2024-05-31 01:00,22,Good,
35.0,6.0,0.11,1.7,0.2,0.4,80,Guanshan,2024-05-31 01:00,18,Good,
4.0,29.7,0.1,2.6,1.0,1.0,78,Magong,2024-05-31 01:00,27,Good,
35.0,2.8,0.33,25.9,1.6,1.6,77,Kinmen,2024-05-31 01:00,76,Moderate,
18.0,28.6,0.2,14.9,0.8,1.3,75,Matsu,2024-05-31 01:00,39,Good,
22.0,8.9,0.19,3.8,1.4,0.9,72,Puli,2024-05-31 01:00,35,Good,
8.0,14.3,0.37,12.2,1.8,1.4,71,Fuxing,2024-05-31 01:00,20,Good,
8.0,6.5,0.37,10.1,1.7,0.9,70,Yonghe,2024-05-31 01:00,59,Moderate,
31.0,5.1,0.12,4.3,0.6,0.8,69,Zhushan,2024-05-31 01:00,30,Good,
34.0,12.4,0.61,22.9,4.5,1.7,68,Zhongli,2024-05-31 01:00,46,Good,
22.0,2.6,0.86,30.3,25.4,1.1,67,Sanchong,2024-05-31 01:00,50,Good,
21.0,8.9,0.31,3.7,0.6,0.6,66,Dongshan,2024-05-31 01:00,24,Good,
12.0,8.0,0.17,2.7,0.4,0.4,65,Yilan,2024-05-31 01:00,23,Good,
17.0,29.9,0.16,2.3,0.5,0.7,64,Yangming,2024-05-31 01:00,25,Good,
16.0,15.4,0.17,1.7,0.2,0.3,63,Hualien,2024-05-31 01:00,25,Good,
23.0,9.7,0.12,1.9,1.6,0.0,62,Taitung,2024-05-31 01:00,19,Good,
9.0,27.6,0.1,0.8,0.5,0.3,61,Hengchun,2024-05-31 01:00,27,Good,
10.0,22.3,0.06,0.7,0.2,0.5,60,Chaozhou,2024-05-31 01:00,19,Good,
8.0,24.8,0.1,2.5,0.4,0.4,59,Pingtung,2024-05-31 01:00,21,Good,
23.0,13.3,0.64,20.1,4.8,16.6,58,Xiaogang,2024-05-31 01:00,40,Good,
14.0,14.9,0.29,11.4,1.3,1.7,57,Qianzhen,2024-05-31 01:00,18,Good,
13.0,17.8,0.16,9.5,0.0,1.0,56,Qianjin,2024-05-31 01:00,19,Good,
3.0,17.7,0.18,7.7,0.0,1.6,54,Zuoying,2024-05-31 01:00,31,Good,
7.0,17.4,0.22,11.2,0.6,1.1,53,Nanzi,2024-05-31 01:00,19,Good,
14.0,26.9,0.1,0.8,0.7,0.6,52,Linyuan,2024-05-31 01:00,29,Good,
11.0,23.5,0.09,1.8,0.2,0.3,51,Daliao,2024-05-31 01:00,24,Good,
8.0,21.4,0.19,5.1,0.6,0.7,50,Fengshan,2024-05-31 01:00,21,Good,
6.0,22.9,0.2,7.1,0.8,3.3,49,Renwu,2024-05-31 01:00,24,Good,
7.0,16.5,0.3,9.9,0.3,1.7,48,Qiaotou,2024-05-31 01:00,19,Good,
14.0,19.2,0.12,2.3,1.2,0.5,47,Meinong,2024-05-31 01:00,19,Good,
16.0,15.5,0.19,11.3,0.5,2.3,46,Tainan,2024-05-31 01:00,28,Good,
11.0,16.7,0.24,11.6,1.7,2.4,45,Annan,2024-05-31 01:00,26,Good,
13.0,17.9,0.1,2.8,1.2,0.2,44,Shanhua,2024-05-31 01:00,27,Good,
13.0,20.6,0.12,3.1,0.4,0.0,43,Xinying,2024-05-31 01:00,22,Good,
18.0,13.8,0.14,5.7,1.2,1.3,42,Chiayi,2024-05-31 01:00,22,Good,
17.0,18.4,0.15,4.9,0.9,1.6,41,Taixi,2024-05-31 01:00,21,Good,
21.0,16.4,0.16,5.9,1.3,1.4,40,Puzi,2024-05-31 01:00,19,Good,
18.0,19.5,0.12,3.5,1.5,0.2,39,Xingang,2024-05-31 01:00,27,Good,
16.0,13.8,0.17,2.7,1.5,0.8,38,Lunbei,2024-05-31 01:00,26,Good,
23.0,9.4,0.13,2.7,1.1,0.9,37,Douliu,2024-05-31 01:00,25,Good,
32.0,5.3,0.15,5.5,0.8,0.2,36,Nantou,2024-05-31 01:00,26,Good,
29.0,8.8,0.16,8.3,0.8,0.4,35,Erlin,2024-05-31 01:00,47,Good,
31.0,14.4,0.18,4.1,1.2,0.4,34,Xianxi,2024-05-31 01:00,35,Good,
20.0,15.9,0.19,8.7,1.6,0.9,33,Changhua,2024-05-31 01:00,33,Good,
29.0,7.7,0.2,9.8,1.2,0.8,32,Xitun,2024-05-31 01:00,34,Good,
21.0,11.8,0.22,6.6,1.0,0.7,31,Zhongming,2024-05-31 01:00,27,Good,
20.0,8.4,0.23,7.0,0.6,1.2,30,Dali,2024-05-31 01:00,39,Good,
16.0,16.6,0.23,8.5,0.0,0.9,29,Shalu,2024-05-31 01:00,33,Good,
23.0,18.3,0.19,4.9,0.8,0.0,28,Fengyuan,2024-05-31 01:00,24,Good,
18.0,17.6,0.17,2.1,0.9,0.5,27,Sanyi,2024-05-31 01:00,29,Good,
22.0,7.9,0.25,13.0,1.5,1.2,26,Miaoli,2024-05-31 01:00,44,Good,
25.0,11.7,0.26,8.6,1.4,1.3,25,Toufen,2024-05-31 01:00,40,Good,
25.0,25.6,0.28,10.8,0.9,2.0,24,Hsinchu,2024-05-31 01:00,33,Good,
