siteid,datacreationdate,aqi,status,pm2.5,no2,so2,o3,co,pm10,no
204,2024-05-27 05:00,19,Good,6,8.3,0.9,0.7,0.12,17,1.3
203,2024-05-27 05:00,24,Good,3,5.9,0.6,1.4,0.14,23,1.3
202,2024-05-27 05:00,23,Good,8,10.1,1.1,1.6,0.17,15,3.2
201,2024-05-27 05:00,75,Moderate,28,10.5,1.5,2.7,0.32,39,1.3
85,2024-05-27 05:00,53,Moderate,21,9.7,0.7,2.9,0.26,31,2.1
84,2024-05-27 05:00,33,Good,4,0.6,0.4,24.7,0.11,22,0
83,2024-05-27 05:00,63,Moderate,24,9.8,1.7,2.9,0.32,37,2.8
80,2024-05-27 05:00,21,Good,1,2.4,0.9,4.5,0.08,25,0.7
78,2024-05-27 05:00,22,Good,0,3.7,1,17.7,0.09,7,0.5
77,2024-05-27 05:00,18,Good,3,11.1,1.4,2.9,0.17,12,1.3
75,2024-05-27 05:00,35,Good,12,4.6,0.8,23.9,0.13,20,0.5
72,2024-05-27 05:00,73,Moderate,23,3.6,1.1,3.1,0.23,38,1.6
71,2024-05-27 05:00,17,Good,3,7.1,0.3,4.9,0.15,12,1.6
70,2024-05-27 05:00,30,Good,6,5.6,0.6,2.7,0.21,20,1.2
69,2024-05-27 05:00,55,Moderate,12,4.8,1.1,4.6,0.1,25,0.9
68,2024-05-27 05:00,56,Moderate,10,6.6,0.6,8.6,0.35,24,3.2
67,2024-05-27 05:00,35,Good,10,10,1.1,3,0.34,18,27.8
66,2024-05-27 05:00,23,Good,5,4.1,0.1,1.5,0.2,28,2
65,2024-05-27 05:00,20,Good,6,3.3,1.2,4.5,0.15,17,0.5
64,2024-05-27 05:00,23,Good,6,3.2,1.2,28,0.17,17,0.8
63,2024-05-27 05:00,29,Good,7,2.3,0.5,2.7,0.13,19,0.8
62,2024-05-27 05:00,16,Good,1,2.7,0.3,4.7,0.08,17,1
61,2024-05-27 05:00,13,Good,4,2.1,,11.1,0.1,11,0.9
60,2024-05-27 05:00,26,Good,5,5.1,0.5,0,0.13,26,6.4
59,2024-05-27 05:00,19,Good,5,3.5,0.1,6.2,0.09,16,0.7
