siteid,sitename,datacreationdate,aqi,status,pm2.5_x,pm2.5_y,no2,o3,co,pm10,no,so2
19,Guanyin,2024-05-30 12:00,56,Moderate,19.0,19.0,4.9,54.1,0.17,9.0,0.7,1.5
18,Dayuan,2024-05-30 12:00,29,Good,9.0,9.0,8.4,45.6,0.23,23.0,3.0,2.2
17,Taoyuan,2024-05-30 12:00,38,Good,15.0,15.0,16.5,66.1,0.47,32.0,1.8,2.1
16,Datong,2024-05-30 12:00,38,Good,7.0,7.0,23.1,30.5,0.88,11.0,16.4,1.4
15,Songshan,2024-05-30 12:00,36,Good,7.0,7.0,13.5,44.9,0.26,17.0,4.2,1.8
14,Guting,2024-05-30 12:00,38,Good,6.0,6.0,23.5,36.3,0.34,21.0,9.9,0.0
13,Wanhua,2024-05-30 12:00,35,Good,7.0,7.0,14.0,43.7,0.31,14.0,4.9,0.7
12,Zhongshan,2024-05-30 12:00,22,Good,1.0,1.0,10.3,43.4,0.29,6.0,3.5,0.8
11,Shilin,2024-05-30 12:00,33,Good,9.0,9.0,8.1,53.4,0.26,18.0,1.9,0.3
10,Tamsui,2024-05-30 12:00,32,Good,10.0,10.0,6.3,47.5,0.21,23.0,2.0,1.6
9,Linkou,2024-05-30 12:00,26,Good,10.0,10.0,11.1,51.7,0.22,17.0,3.3,1.0
8,Cailiao,2024-05-30 12:00,24,Good,3.0,3.0,11.0,49.9,0.31,13.0,2.6,0.9
7,Xinzhuang,2024-05-30 12:00,37,Good,11.0,11.0,12.8,61.1,0.31,16.0,2.2,0.5
6,Banqiao,2024-05-30 12:00,30,Good,7.0,7.0,18.3,48.1,0.44,15.0,4.4,0.4
5,Tucheng,2024-05-30 12:00,44,Good,16.0,16.0,12.7,57.1,0.4,13.0,2.3,0.3
4,Xindian,2024-05-30 12:00,32,Good,9.0,9.0,12.8,50.9,0.28,16.0,3.2,1.0
3,Wanli,2024-05-30 12:00,34,Good,,,2.4,46.9,0.19,41.0,1.2,2.0
2,Xizhi,2024-05-30 12:00,25,Good,9.0,9.0,15.4,47.5,0.26,22.0,3.9,2.0
1,Keelung,2024-05-30 12:00,25,Good,8.0,8.0,7.5,43.6,0.21,25.0,2.6,3.1
313,Pingtung（fangshan）,2024-05-30 11:00,34,Good,2.0,2.0,1.2,35.4,0.17,20.0,0.2,0.0
312,Taichung（Rilana Elementary）,2024-05-30 11:00,33,Good,13.0,13.0,8.2,57.8,0.22,30.0,1.6,0.9
311,New Taipei(Shulin),2024-05-30 11:00,44,Good,10.0,10.0,24.4,30.6,0.48,21.0,4.2,1.0
204,Pingtung（Liuqiu）,2024-05-30 11:00,30,Good,5.0,5.0,1.7,29.5,0.09,8.0,1.6,0.6
203,Tainan（Madou）,2024-05-30 11:00,43,Good,9.0,9.0,9.3,41.0,0.23,17.0,3.1,1.7
202,Kaohsiung（Hunei）,2024-05-30 11:00,55,Moderate,7.0,7.0,6.2,25.2,0.14,17.0,3.3,0.5
201,Changhua（Yuanlin）,2024-05-30 11:00,59,Moderate,18.0,18.0,8.6,61.7,0.36,30.0,0.9,1.9
85,Dacheng,2024-05-30 11:00,47,Good,13.0,13.0,6.2,63.0,0.23,30.0,1.2,3.3
84,FugueiCape,2024-05-30 11:00,40,Good,10.0,10.0,,47.1,0.14,41.0,,0.5
83,Mailiao,2024-05-30 11:00,49,Good,18.0,18.0,7.0,60.4,0.28,39.0,0.9,4.2
80,Guanshan,2024-05-30 11:00,16,Good,0.0,0.0,1.7,36.1,0.13,6.0,0.8,0.7
78,Magong,2024-05-30 11:00,43,Good,18.0,18.0,7.4,50.0,0.26,28.0,2.4,1.5
77,Kinmen,2024-05-30 11:00,46,Good,18.0,18.0,13.8,36.8,0.26,34.0,1.4,1.8
75,Matsu,2024-05-30 11:00,40,Good,,,9.0,48.0,0.23,40.0,5.8,1.4
72,Puli,2024-05-30 11:00,25,Good,7.0,7.0,1.2,35.1,0.15,7.0,1.5,1.2
71,Fuxing,2024-05-30 11:00,28,Good,5.0,5.0,10.4,25.0,0.2,10.0,4.6,1.6
70,Yonghe,2024-05-30 11:00,48,Good,11.0,11.0,29.9,27.5,1.01,21.0,16.0,1.9
69,Zhushan,2024-05-30 11:00,56,Moderate,15.0,15.0,3.7,57.3,0.21,29.0,0.8,1.3
68,Zhongli,2024-05-30 11:00,56,Moderate,16.0,16.0,38.5,26.9,0.73,45.0,17.7,2.1
67,Sanchong,2024-05-30 11:00,50,Good,8.0,8.0,30.0,22.9,0.65,17.0,29.7,1.0
66,Dongshan,2024-05-30 11:00,37,Good,9.0,9.0,13.3,40.0,0.71,40.0,5.1,1.7
65,Yilan,2024-05-30 11:00,25,Good,2.0,2.0,3.4,46.4,0.26,22.0,0.9,1.3
64,Yangming,2024-05-30 11:00,28,Good,5.0,5.0,1.4,31.6,0.17,10.0,0.5,1.6
63,Hualien,2024-05-30 11:00,35,Good,7.0,7.0,5.2,28.7,0.2,14.0,1.5,0.3
62,Taitung,2024-05-30 11:00,25,Good,6.0,6.0,1.9,41.2,0.2,9.0,2.2,0.5
61,Hengchun,2024-05-30 11:00,34,Good,5.0,5.0,0.6,36.6,0.12,4.0,0.7,
60,Chaozhou,2024-05-30 11:00,28,Good,0.0,0.0,1.3,31.4,0.08,15.0,0.2,0.8
59,Pingtung,2024-05-30 11:00,26,Good,3.0,3.0,3.4,33.0,0.14,9.0,1.1,0.7
58,Xiaogang,2024-05-30 11:00,38,Good,8.0,8.0,8.9,29.9,0.25,15.0,3.1,2.9
57,Qianzhen,2024-05-30 11:00,23,Good,0.0,0.0,11.0,24.0,0.22,,6.8,2.9
56,Qianjin,2024-05-30 11:00,29,Good,2.0,2.0,,28.8,,,,
54,Zuoying,2024-05-30 11:00,45,Good,8.0,8.0,8.7,27.8,0.16,7.0,2.7,1.7
53,Nanzi,2024-05-30 11:00,46,Good,17.0,17.0,13.5,31.1,0.39,22.0,3.3,3.8
52,Linyuan,2024-05-30 11:00,31,Good,3.0,3.0,1.7,33.2,0.12,18.0,1.0,0.8
51,Daliao,2024-05-30 11:00,44,Good,6.0,6.0,3.1,30.0,0.1,14.0,0.9,0.5
50,Fengshan,2024-05-30 11:00,29,Good,3.0,3.0,6.8,29.9,0.28,10.0,2.6,1.5
49,Renwu,2024-05-30 11:00,39,Good,8.0,8.0,9.1,31.7,0.35,14.0,2.9,3.0
48,Qiaotou,2024-05-30 11:00,32,Good,6.0,6.0,7.4,33.1,0.17,14.0,2.2,1.6
47,Meinong,2024-05-30 11:00,21,Good,3.0,3.0,2.8,44.9,0.16,20.0,1.3,0.9
46,Tainan,2024-05-30 11:00,55,Moderate,6.0,6.0,7.9,39.5,0.16,16.0,1.6,1.6
45,Annan,2024-05-30 11:00,53,Moderate,,,8.6,40.3,0.2,18.0,2.9,1.6
44,Shanhua,2024-05-30 11:00,44,Good,10.0,10.0,8.1,60.8,0.27,22.0,1.6,1.9
43,Xinying,2024-05-30 11:00,58,Moderate,8.0,8.0,7.3,51.5,0.33,18.0,0.9,1.0
42,Chiayi,2024-05-30 11:00,71,Moderate,18.0,18.0,5.5,62.2,0.27,39.0,1.2,2.2
41,Taixi,2024-05-30 11:00,49,Good,11.0,11.0,6.2,57.7,0.25,37.0,1.6,3.8
40,Puzi,2024-05-30 11:00,45,Good,,,5.7,60.4,0.29,41.0,1.8,1.8
39,Xingang,2024-05-30 11:00,71,Moderate,16.0,16.0,3.8,59.6,0.23,34.0,1.3,1.5
38,Lunbei,2024-05-30 11:00,58,Moderate,14.0,14.0,2.4,51.3,0.23,22.0,1.3,1.5
37,Douliu,2024-05-30 11:00,63,Moderate,10.0,10.0,5.0,63.9,0.31,32.0,1.4,1.8
36,Nantou,2024-05-30 11:00,62,Moderate,13.0,13.0,7.9,60.2,0.25,26.0,0.9,0.6
35,Erlin,2024-05-30 11:00,54,Moderate,20.0,20.0,2.8,60.3,0.23,41.0,1.9,1.6
34,Xianxi,2024-05-30 11:00,37,Good,10.0,10.0,6.6,55.9,0.24,45.0,2.7,2.6
33,Changhua,2024-05-30 11:00,41,Good,9.0,9.0,8.6,62.3,0.23,21.0,2.5,0.6
32,Xitun,2024-05-30 11:00,43,Good,11.0,11.0,7.7,57.3,0.21,18.0,1.4,1.0
31,Zhongming,2024-05-30 11:00,39,Good,6.0,6.0,5.6,55.3,0.23,19.0,1.7,1.3
30,Dali,2024-05-30 11:00,59,Moderate,13.0,13.0,8.7,61.6,0.26,17.0,1.3,1.6
29,Shalu,2024-05-30 11:00,38,Good,11.0,11.0,5.8,61.2,0.27,32.0,0.4,1.2
28,Fengyuan,2024-05-30 11:00,48,Good,9.0,9.0,6.7,57.9,0.24,22.0,1.6,1.8
27,Sanyi,2024-05-30 11:00,34,Good,8.0,8.0,3.1,51.8,0.2,11.0,1.3,1.1
26,Miaoli,2024-05-30 11:00,45,Good,12.0,12.0,12.7,56.5,0.27,29.0,3.3,3.0
25,Toufen,2024-05-30 11:00,54,Moderate,22.0,22.0,11.2,64.2,0.33,46.0,2.7,2.4
24,Hsinchu,2024-05-30 11:00,52,Moderate,16.0,16.0,13.2,65.4,0.34,31.0,2.2,1.6
23,Zhudong,2024-05-30 11:00,47,Good,13.0,13.0,5.5,47.2,0.2,20.0,1.1,0.1
22,Hukou,2024-05-30 11:00,56,Moderate,21.0,21.0,6.2,61.7,0.27,26.0,1.3,2.0
21,Longtan,2024-05-30 11:00,38,Good,12.0,12.0,11.4,55.4,0.36,22.0,1.1,1.0
20,Pingzhen,2024-05-30 11:00,35,Good,16.0,16.0,20.7,40.7,0.36,,5.7,1.5
19,Guanyin,2024-05-30 11:00,55,Moderate,,,8.4,51.1,0.2,18.0,1.8,2.1
18,Dayuan,2024-05-30 11:00,28,Good,14.0,14.0,16.0,42.8,0.27,34.0,4.8,3.0
17,Taoyuan,2024-05-30 11:00,35,Good,12.0,12.0,13.5,61.5,0.49,19.0,2.3,2.2
16,Datong,2024-05-30 11:00,52,Moderate,11.0,11.0,32.6,19.8,0.84,19.0,27.9,1.4
15,Songshan,2024-05-30 11:00,40,Good,10.0,10.0,21.5,26.4,0.38,23.0,11.8,2.4
14,Guting,2024-05-30 11:00,45,Good,12.0,12.0,27.8,26.0,0.49,22.0,14.9,0.1
13,Wanhua,2024-05-30 11:00,47,Good,10.0,10.0,28.5,27.6,0.57,23.0,12.7,0.8
12,Zhongshan,2024-05-30 11:00,28,Good,3.0,3.0,17.3,30.1,0.38,19.0,8.3,0.8
11,Shilin,2024-05-30 11:00,34,Good,12.0,12.0,17.2,33.7,0.36,25.0,6.2,0.8
10,Tamsui,2024-05-30 11:00,31,Good,10.0,10.0,12.3,47.4,0.29,23.0,3.3,1.8
9,Linkou,2024-05-30 11:00,27,Good,8.0,8.0,16.3,46.9,0.3,17.0,5.5,0.9
8,Cailiao,2024-05-30 11:00,30,Good,6.0,6.0,18.2,36.8,0.42,18.0,7.2,1.1
7,Xinzhuang,2024-05-30 11:00,47,Good,19.0,19.0,28.6,47.3,0.68,35.0,6.4,0.5
6,Banqiao,2024-05-30 11:00,28,Good,7.0,7.0,17.5,42.0,0.53,18.0,5.3,0.4
5,Tucheng,2024-05-30 11:00,43,Good,12.0,12.0,15.9,59.2,0.51,23.0,3.4,0.4
4,Xindian,2024-05-30 11:00,32,Good,11.0,11.0,17.4,42.5,0.46,22.0,4.8,1.0
3,Wanli,2024-05-30 11:00,30,Good,8.0,8.0,3.8,40.1,0.18,,1.5,1.2
2,Xizhi,2024-05-30 11:00,25,Good,6.0,6.0,15.0,35.2,0.28,15.0,3.9,1.4
1,Keelung,2024-05-30 11:00,25,Good,9.0,9.0,10.4,34.0,0.19,17.0,3.6,4.1
313,Pingtung（fangshan）,2024-05-30 10:00,35,Good,3.0,3.0,1.3,35.4,0.1,9.0,0.1,0.0
312,Taichung（Rilana Elementary）,2024-05-30 10:00,32,Good,7.0,7.0,4.6,45.1,0.16,14.0,1.9,0.5
311,New Taipei(Shulin),2024-05-30 10:00,44,Good,15.0,15.0,21.9,22.1,0.46,27.0,5.1,1.6
204,Pingtung（Liuqiu）,2024-05-30 10:00,32,Good,7.0,7.0,1.9,29.3,0.09,7.0,1.8,0.6
203,Tainan（Madou）,2024-05-30 10:00,48,Good,8.0,8.0,7.2,34.6,0.27,18.0,2.8,1.3
202,Kaohsiung（Hunei）,2024-05-30 10:00,61,Moderate,13.0,13.0,9.0,34.9,0.29,38.0,3.4,2.0
201,Changhua（Yuanlin）,2024-05-30 10:00,61,Moderate,16.0,16.0,8.2,58.6,0.4,33.0,1.4,2.5
85,Dacheng,2024-05-30 10:00,47,Good,16.0,16.0,9.7,50.9,0.29,47.0,2.5,4.2
84,FugueiCape,2024-05-30 10:00,41,Good,9.0,9.0,1.4,48.8,0.13,42.0,0.3,0.3
83,Mailiao,2024-05-30 10:00,47,Good,11.0,11.0,5.6,50.1,0.3,25.0,1.1,3.1
80,Guanshan,2024-05-30 10:00,18,Good,2.0,2.0,2.2,30.9,0.13,9.0,1.2,0.8
78,Magong,2024-05-30 10:00,43,Good,14.0,14.0,7.5,46.0,0.25,21.0,2.1,1.2
77,Kinmen,2024-05-30 10:00,43,Good,18.0,18.0,10.4,39.7,0.28,32.0,1.1,1.4
75,Matsu,2024-05-30 10:00,40,Good,16.0,16.0,15.5,36.4,0.26,45.0,10.1,1.8
72,Puli,2024-05-30 10:00,26,Good,6.0,6.0,2.8,31.4,0.16,17.0,2.1,1.3
71,Fuxing,2024-05-30 10:00,30,Good,5.0,5.0,8.5,28.1,0.22,9.0,3.6,1.1
70,Yonghe,2024-05-30 10:00,54,Moderate,15.0,15.0,35.2,13.8,1.6,31.0,31.4,1.9
69,Zhushan,2024-05-30 10:00,60,Moderate,10.0,10.0,3.1,45.9,0.18,27.0,1.0,1.1
68,Zhongli,2024-05-30 10:00,55,Moderate,17.0,17.0,37.0,21.2,0.72,37.0,20.7,1.6
67,Sanchong,2024-05-30 10:00,55,Moderate,11.0,11.0,37.2,12.3,0.84,19.0,43.2,1.0
66,Dongshan,2024-05-30 10:00,36,Good,11.0,11.0,12.0,31.1,0.62,37.0,6.7,1.5
65,Yilan,2024-05-30 10:00,21,Good,3.0,3.0,3.7,43.8,0.25,13.0,1.1,1.3
64,Yangming,2024-05-30 10:00,28,Good,5.0,5.0,1.7,24.4,0.19,11.0,0.6,2.1
63,Hualien,2024-05-30 10:00,39,Good,10.0,10.0,5.8,26.7,0.27,24.0,2.0,0.4
62,Taitung,2024-05-30 10:00,23,Good,3.0,3.0,2.2,41.0,0.21,11.0,2.4,0.6
61,Hengchun,2024-05-30 10:00,34,Good,5.0,5.0,0.6,37.2,0.12,6.0,0.8,1.2
60,Chaozhou,2024-05-30 10:00,35,Good,0.0,0.0,1.0,32.2,0.1,14.0,0.5,1.1
59,Pingtung,2024-05-30 10:00,31,Good,4.0,4.0,5.2,37.8,0.21,19.0,1.3,1.1
58,Xiaogang,2024-05-30 10:00,43,Good,7.0,7.0,7.8,29.7,0.2,20.0,2.3,4.4
57,Qianzhen,2024-05-30 10:00,30,Good,3.0,3.0,11.5,24.3,0.24,17.0,6.4,2.5
56,Qianjin,2024-05-30 10:00,37,Good,4.0,4.0,11.0,27.1,0.15,9.0,5.5,2.5
54,Zuoying,2024-05-30 10:00,52,Moderate,9.0,9.0,9.7,28.7,0.19,8.0,3.3,2.5
53,Nanzi,2024-05-30 10:00,44,Good,8.0,8.0,13.8,38.4,0.38,26.0,3.7,2.7
52,Linyuan,2024-05-30 10:00,31,Good,4.0,4.0,2.4,34.9,0.14,30.0,1.2,0.8
51,Daliao,2024-05-30 10:00,53,Moderate,8.0,8.0,4.3,31.9,0.19,19.0,1.2,1.0
50,Fengshan,2024-05-30 10:00,36,Good,4.0,4.0,7.6,35.7,0.35,22.0,2.5,1.8
49,Renwu,2024-05-30 10:00,45,Good,10.0,10.0,8.2,40.0,0.3,14.0,2.2,1.8
48,Qiaotou,2024-05-30 10:00,36,Good,7.0,7.0,13.2,33.1,0.31,26.0,2.9,1.9
47,Meinong,2024-05-30 10:00,21,Good,0.0,0.0,2.4,33.5,0.14,6.0,1.5,0.8
46,Tainan,2024-05-30 10:00,65,Moderate,17.0,17.0,10.0,46.2,0.29,27.0,1.8,2.8
45,Annan,2024-05-30 10:00,58,Moderate,14.0,14.0,9.0,42.5,0.32,18.0,3.2,2.4
44,Shanhua,2024-05-30 10:00,52,Moderate,7.0,7.0,4.3,37.7,0.18,17.0,2.0,1.1
43,Xinying,2024-05-30 10:00,63,Moderate,14.0,14.0,7.9,43.1,0.36,35.0,1.6,0.8
42,Chiayi,2024-05-30 10:00,75,Moderate,21.0,21.0,8.2,54.9,0.32,49.0,1.8,2.3
41,Taixi,2024-05-30 10:00,49,Good,21.0,21.0,7.6,49.6,0.36,38.0,2.0,4.1
40,Puzi,2024-05-30 10:00,47,Good,,,6.0,48.7,0.31,37.0,2.2,1.8
39,Xingang,2024-05-30 10:00,74,Moderate,24.0,24.0,5.4,58.6,0.29,47.0,1.8,1.9
38,Lunbei,2024-05-30 10:00,59,Moderate,15.0,15.0,3.3,49.0,0.22,22.0,1.2,1.3
37,Douliu,2024-05-30 10:00,66,Moderate,18.0,18.0,4.3,56.8,0.27,40.0,1.6,1.8
36,Nantou,2024-05-30 10:00,65,Moderate,19.0,19.0,11.0,61.0,0.33,30.0,1.6,0.6
35,Erlin,2024-05-30 10:00,54,Moderate,12.0,12.0,4.5,53.6,0.22,28.0,2.3,0.9
34,Xianxi,2024-05-30 10:00,38,Good,10.0,10.0,7.9,46.1,0.29,29.0,3.2,2.2
33,Changhua,2024-05-30 10:00,45,Good,11.0,11.0,12.0,53.2,0.3,28.0,3.5,0.8
32,Xitun,2024-05-30 10:00,43,Good,13.0,13.0,9.5,51.7,0.25,19.0,2.3,1.2
31,Zhongming,2024-05-30 10:00,44,Good,10.0,10.0,13.7,48.8,0.34,22.0,3.4,1.9
30,Dali,2024-05-30 10:00,61,Moderate,22.0,22.0,14.1,67.7,0.5,30.0,1.6,1.9
29,Shalu,2024-05-30 10:00,38,Good,9.0,9.0,,51.8,0.24,21.0,,1.0
28,Fengyuan,2024-05-30 10:00,52,Moderate,14.0,14.0,9.4,46.0,0.28,29.0,2.6,2.6
27,Sanyi,2024-05-30 10:00,35,Good,10.0,10.0,4.0,46.9,0.24,18.0,1.8,1.1
26,Miaoli,2024-05-30 10:00,47,Good,13.0,13.0,8.9,42.4,0.24,20.0,3.4,2.3
25,Toufen,2024-05-30 10:00,52,Moderate,11.0,11.0,11.2,38.4,0.3,27.0,5.1,3.1
24,Hsinchu,2024-05-30 10:00,51,Moderate,15.0,15.0,17.7,36.0,0.43,35.0,7.0,1.4
23,Zhudong,2024-05-30 10:00,49,Good,11.0,11.0,8.1,35.0,0.24,30.0,3.2,0.6
22,Hukou,2024-05-30 10:00,53,Moderate,16.0,16.0,7.8,47.0,0.27,26.0,1.9,1.8
21,Longtan,2024-05-30 10:00,38,Good,10.0,10.0,14.2,40.0,0.36,31.0,3.0,1.4
20,Pingzhen,2024-05-30 10:00,37,Good,13.0,13.0,22.1,34.7,0.45,27.0,7.6,1.1
19,Guanyin,2024-05-30 10:00,54,Moderate,18.0,18.0,7.7,46.7,0.21,21.0,1.8,1.7
18,Dayuan,2024-05-30 10:00,28,Good,6.0,6.0,17.7,32.8,0.3,35.0,8.6,3.6
17,Taoyuan,2024-05-30 10:00,33,Good,11.0,11.0,17.2,42.4,0.52,12.0,5.0,3.0
16,Datong,2024-05-30 10:00,52,Moderate,12.0,12.0,33.9,11.2,0.95,18.0,32.5,1.9
15,Songshan,2024-05-30 10:00,45,Good,13.0,13.0,27.1,16.7,0.49,28.0,13.5,2.8
14,Guting,2024-05-30 10:00,35,Good,10.0,10.0,21.9,23.5,0.54,17.0,8.8,0.2
13,Wanhua,2024-05-30 10:00,54,Moderate,15.0,15.0,35.3,16.4,0.82,28.0,19.8,0.9
12,Zhongshan,2024-05-30 10:00,43,Good,15.0,15.0,26.4,15.7,0.6,21.0,17.5,1.3
11,Shilin,2024-05-30 10:00,33,Good,9.0,9.0,18.0,25.1,0.38,24.0,5.3,1.0
10,Tamsui,2024-05-30 10:00,31,Good,13.0,13.0,11.9,36.4,0.29,23.0,3.4,1.9
9,Linkou,2024-05-30 10:00,37,Good,9.0,9.0,22.7,23.1,0.36,20.0,16.1,0.9
8,Cailiao,2024-05-30 10:00,51,Moderate,10.0,10.0,31.6,21.2,0.69,23.0,10.9,1.3
7,Xinzhuang,2024-05-30 10:00,42,Good,11.0,11.0,25.0,27.6,0.73,30.0,8.3,0.5
6,Banqiao,2024-05-30 10:00,30,Good,5.0,5.0,18.3,31.0,0.6,12.0,7.5,0.4
5,Tucheng,2024-05-30 10:00,42,Good,13.0,13.0,14.0,31.0,0.48,20.0,6.5,0.4
4,Xindian,2024-05-30 10:00,31,Good,12.0,12.0,14.0,31.0,0.43,13.0,5.0,0.9
3,Wanli,2024-05-30 10:00,27,Good,8.0,8.0,5.1,39.9,0.19,43.0,1.7,1.2
2,Xizhi,2024-05-30 10:00,28,Good,5.0,5.0,17.3,29.9,0.27,19.0,6.1,2.0
1,Keelung,2024-05-30 10:00,32,Good,10.0,10.0,19.6,21.0,0.23,28.0,9.8,4.7
313,Pingtung（fangshan）,2024-05-30 09:00,35,Good,2.0,2.0,1.8,34.5,0.12,10.0,0.3,0.0
312,Taichung（Rilana Elementary）,2024-05-30 09:00,34,Good,9.0,9.0,3.4,39.5,0.13,13.0,1.7,0.4
311,New Taipei(Shulin),2024-05-30 09:00,42,Good,13.0,13.0,22.5,7.6,0.47,27.0,11.6,2.4
204,Pingtung（Liuqiu）,2024-05-30 09:00,32,Good,7.0,7.0,2.0,29.5,0.09,9.0,2.0,0.6
203,Tainan（Madou）,2024-05-30 09:00,53,Moderate,11.0,11.0,8.6,23.4,0.29,25.0,3.5,
202,Kaohsiung（Hunei）,2024-05-30 09:00,62,Moderate,11.0,11.0,9.5,24.7,0.34,24.0,4.8,1.5
201,Changhua（Yuanlin）,2024-05-30 09:00,63,Moderate,21.0,21.0,10.0,47.2,0.4,42.0,2.4,2.4
85,Dacheng,2024-05-30 09:00,47,Good,12.0,12.0,12.0,38.0,0.45,42.0,3.5,5.7
84,FugueiCape,2024-05-30 09:00,39,Good,11.0,11.0,1.0,49.1,0.13,39.0,0.3,0.3
83,Mailiao,2024-05-30 09:00,52,Moderate,18.0,18.0,8.1,41.4,0.4,33.0,2.2,4.3
80,Guanshan,2024-05-30 09:00,20,Good,3.0,3.0,1.8,20.6,0.15,19.0,1.2,0.6
78,Magong,2024-05-30 09:00,43,Good,11.0,11.0,6.7,45.3,0.26,32.0,1.7,1.1
77,Kinmen,2024-05-30 09:00,41,Good,12.0,12.0,9.5,41.0,0.25,24.0,0.7,1.3
75,Matsu,2024-05-30 09:00,42,Good,13.0,13.0,15.9,35.6,0.28,44.0,7.4,1.9
72,Puli,2024-05-30 09:00,28,Good,9.0,9.0,4.5,22.8,0.28,18.0,3.4,1.2
71,Fuxing,2024-05-30 09:00,31,Good,7.0,7.0,15.8,25.1,0.6,27.0,5.1,2.2
70,Yonghe,2024-05-30 09:00,40,Good,8.0,8.0,24.6,13.7,1.41,19.0,22.2,1.7
69,Zhushan,2024-05-30 09:00,66,Moderate,12.0,12.0,4.8,28.5,0.18,26.0,2.1,1.1
68,Zhongli,2024-05-30 09:00,50,Good,19.0,19.0,30.6,12.4,1.14,33.0,22.7,1.2
67,Sanchong,2024-05-30 09:00,54,Moderate,12.0,12.0,35.6,9.5,1.15,18.0,41.5,1.5
66,Dongshan,2024-05-30 09:00,36,Good,11.0,11.0,14.6,24.3,0.78,39.0,9.2,1.8
65,Yilan,2024-05-30 09:00,19,Good,4.0,4.0,4.8,37.5,0.27,16.0,1.5,1.6
64,Yangming,2024-05-30 09:00,30,Good,3.0,3.0,1.3,25.1,0.17,10.0,0.6,1.1
63,Hualien,2024-05-30 09:00,39,Good,11.0,11.0,4.0,18.6,0.32,13.0,2.5,0.4
62,Taitung,2024-05-30 09:00,21,Good,4.0,4.0,1.8,38.4,0.23,15.0,2.2,0.5
61,Hengchun,2024-05-30 09:00,35,Good,5.0,5.0,0.6,37.8,0.13,3.0,0.7,
60,Chaozhou,2024-05-30 09:00,40,Good,7.0,7.0,1.9,26.8,0.14,23.0,0.7,1.0
59,Pingtung,2024-05-30 09:00,36,Good,5.0,5.0,6.8,28.4,0.29,22.0,2.1,0.8
58,Xiaogang,2024-05-30 09:00,45,Good,9.0,9.0,12.6,25.5,0.31,20.0,4.2,3.0
57,Qianzhen,2024-05-30 09:00,32,Good,8.0,8.0,16.2,23.9,0.51,19.0,7.1,3.5
56,Qianjin,2024-05-30 09:00,40,Good,7.0,7.0,16.5,27.0,0.4,21.0,5.4,3.6
54,Zuoying,2024-05-30 09:00,55,Moderate,8.0,8.0,16.3,31.8,0.55,26.0,3.9,3.3
53,Nanzi,2024-05-30 09:00,49,Good,10.0,10.0,16.0,24.3,0.33,21.0,5.8,2.1
52,Linyuan,2024-05-30 09:00,32,Good,7.0,7.0,3.8,34.9,0.21,33.0,1.4,1.0
51,Daliao,2024-05-30 09:00,61,Moderate,11.0,11.0,6.8,28.5,0.22,21.0,2.8,4.2
50,Fengshan,2024-05-30 09:00,44,Good,8.0,8.0,9.2,30.5,0.39,21.0,2.8,2.2
49,Renwu,2024-05-30 09:00,49,Good,8.0,8.0,9.3,32.2,0.36,18.0,2.8,0.8
48,Qiaotou,2024-05-30 09:00,42,Good,3.0,3.0,12.3,29.1,0.31,20.0,3.4,1.1
47,Meinong,2024-05-30 09:00,23,Good,2.0,2.0,2.6,30.1,0.19,23.0,1.7,0.6
46,Tainan,2024-05-30 09:00,70,Moderate,11.0,11.0,9.6,31.2,0.3,21.0,2.4,1.8
45,Annan,2024-05-30 09:00,63,Moderate,4.0,4.0,11.6,30.5,0.4,21.0,5.1,1.6
44,Shanhua,2024-05-30 09:00,58,Moderate,12.0,12.0,4.0,29.0,0.2,17.0,2.2,0.5
43,Xinying,2024-05-30 09:00,65,Moderate,25.0,25.0,10.2,35.1,0.43,60.0,2.6,1.0
42,Chiayi,2024-05-30 09:00,76,Moderate,23.0,23.0,10.2,42.9,0.39,63.0,3.3,2.3
41,Taixi,2024-05-30 09:00,45,Good,19.0,19.0,9.0,40.5,0.46,43.0,2.6,4.3
40,Puzi,2024-05-30 09:00,50,Good,,,7.6,41.6,0.35,47.0,2.7,1.8
39,Xingang,2024-05-30 09:00,73,Moderate,29.0,29.0,9.1,47.0,0.4,63.0,3.1,2.0
38,Lunbei,2024-05-30 09:00,61,Moderate,19.0,19.0,5.1,41.8,0.28,39.0,2.1,1.6
37,Douliu,2024-05-30 09:00,68,Moderate,25.0,25.0,7.3,44.8,0.31,45.0,2.5,2.0
36,Nantou,2024-05-30 09:00,69,Moderate,21.0,21.0,12.7,44.7,0.38,41.0,2.8,0.8
35,Erlin,2024-05-30 09:00,58,Moderate,14.0,14.0,6.5,39.3,0.25,41.0,3.4,0.9
34,Xianxi,2024-05-30 09:00,39,Good,11.0,11.0,6.6,41.8,0.24,20.0,3.2,1.0
33,Changhua,2024-05-30 09:00,45,Good,15.0,15.0,11.2,45.4,0.37,27.0,4.6,1.0
32,Xitun,2024-05-30 09:00,45,Good,14.0,14.0,9.2,46.2,0.32,26.0,2.8,1.4
31,Zhongming,2024-05-30 09:00,49,Good,15.0,15.0,15.8,40.7,0.47,34.0,4.2,2.2
30,Dali,2024-05-30 09:00,62,Moderate,20.0,20.0,13.0,51.6,0.52,28.0,2.1,1.8
29,Shalu,2024-05-30 09:00,43,Good,10.0,10.0,,41.3,0.24,24.0,,0.8
28,Fengyuan,2024-05-30 09:00,58,Moderate,14.0,14.0,7.3,34.6,0.31,28.0,2.5,1.2
