siteid,sitename,datacreationdate,aqi,status,pm2.5_x,pm2.5_y,no2,o3,co,pm10,no,so2
1,Keelung,2024-05-30 17:00,29,Good,5.0,5.0,14.6,21.4,0.29,15.0,3.6,2.2
313,Pingtung（fangshan）,2024-05-30 16:00,32,Good,0.0,0.0,2.0,35.3,0.09,5.0,0.3,0.0
312,Taichung（Rilana Elementary）,2024-05-30 16:00,49,Good,13.0,13.0,3.5,51.1,0.08,40.0,0.7,0.7
311,New Taipei(Shulin),2024-05-30 16:00,43,Good,15.0,15.0,16.4,32.5,0.32,24.0,1.3,2.9
204,Pingtung（Liuqiu）,2024-05-30 16:00,27,Good,7.0,7.0,1.2,29.7,0.07,14.0,1.2,0.7
203,Tainan（Madou）,2024-05-30 16:00,31,Good,5.0,5.0,5.3,32.0,0.13,13.0,2.2,0.2
202,Kaohsiung（Hunei）,2024-05-30 16:00,25,Good,9.0,9.0,3.2,27.7,0.13,15.0,2.3,0.4
201,Changhua（Yuanlin）,2024-05-30 16:00,59,Moderate,16.0,16.0,7.9,44.1,0.28,30.0,1.1,2.1
85,Dacheng,2024-05-30 16:00,61,Moderate,10.0,10.0,2.5,59.9,0.12,30.0,0.3,0.9
84,FugueiCape,2024-05-30 16:00,44,Good,8.0,8.0,1.3,48.5,0.13,35.0,0.3,0.5
83,Mailiao,2024-05-30 16:00,54,Moderate,9.0,9.0,4.2,47.4,0.15,23.0,0.2,1.3
80,Guanshan,2024-05-30 16:00,28,Good,2.0,2.0,3.2,24.7,0.14,9.0,0.6,0.3
78,Magong,2024-05-30 16:00,44,Good,1.0,1.0,5.4,34.0,0.14,4.0,2.7,1.4
77,Kinmen,2024-05-30 16:00,64,Moderate,26.0,26.0,12.6,53.6,0.29,36.0,1.2,2.2
75,Matsu,2024-05-30 16:00,44,Good,15.0,15.0,8.5,47.6,0.22,27.0,7.0,0.8
72,Puli,2024-05-30 16:00,50,Good,24.0,24.0,4.2,55.3,0.26,24.0,1.6,1.1
71,Fuxing,2024-05-30 16:00,23,Good,4.0,4.0,8.4,28.8,0.31,11.0,3.6,2.9
70,Yonghe,2024-05-30 16:00,35,Good,8.0,8.0,16.4,44.4,0.47,,2.3,
69,Zhushan,2024-05-30 16:00,63,Moderate,15.0,15.0,6.8,38.4,0.18,16.0,0.7,1.0
68,Zhongli,2024-05-30 16:00,53,Moderate,17.0,17.0,34.2,15.6,0.6,33.0,31.4,1.5
67,Sanchong,2024-05-30 16:00,56,Moderate,10.0,10.0,38.5,13.5,0.86,21.0,53.9,1.4
66,Dongshan,2024-05-30 16:00,36,Good,7.0,7.0,5.6,43.0,0.23,22.0,2.1,0.5
65,Yilan,2024-05-30 16:00,44,Good,6.0,6.0,3.2,45.7,0.21,24.0,0.6,1.1
64,Yangming,2024-05-30 16:00,28,Good,4.0,4.0,0.9,29.7,0.15,9.0,0.6,1.1
63,Hualien,2024-05-30 16:00,31,Good,5.0,5.0,1.1,38.2,0.18,4.0,0.4,0.1
62,Taitung,2024-05-30 16:00,34,Good,2.0,2.0,2.7,31.0,0.17,7.0,2.4,0.2
61,Hengchun,2024-05-30 16:00,32,Good,2.0,2.0,0.7,32.4,0.1,9.0,0.6,0.6
60,Chaozhou,2024-05-30 16:00,29,Good,0.0,0.0,1.1,32.2,0.07,12.0,0.1,0.9
59,Pingtung,2024-05-30 16:00,29,Good,2.0,2.0,4.3,33.2,0.16,12.0,1.3,0.7
58,Xiaogang,2024-05-30 16:00,32,Good,13.0,13.0,11.6,25.0,0.56,25.0,4.0,6.0
57,Qianzhen,2024-05-30 16:00,21,Good,5.0,5.0,10.0,28.3,0.31,16.0,5.4,2.5
56,Qianjin,2024-05-30 16:00,23,Good,4.0,4.0,7.6,30.0,0.14,20.0,2.1,1.8
54,Zuoying,2024-05-30 16:00,36,Good,9.0,9.0,8.7,31.1,0.21,17.0,2.2,1.7
53,Nanzi,2024-05-30 16:00,27,Good,5.0,5.0,10.6,31.6,0.21,21.0,2.9,1.4
52,Linyuan,2024-05-30 16:00,31,Good,4.0,4.0,0.4,35.4,0.1,7.0,0.8,0.8
51,Daliao,2024-05-30 16:00,28,Good,4.0,4.0,2.7,32.1,0.16,17.0,1.0,0.3
50,Fengshan,2024-05-30 16:00,27,Good,3.0,3.0,6.3,30.8,0.28,18.0,2.3,2.0
49,Renwu,2024-05-30 16:00,30,Good,4.0,4.0,6.4,34.8,0.18,15.0,2.3,0.1
48,Qiaotou,2024-05-30 16:00,27,Good,7.0,7.0,5.8,33.2,0.15,,1.5,0.6
47,Meinong,2024-05-30 16:00,32,Good,4.0,4.0,2.4,35.6,0.12,15.0,1.5,0.9
46,Tainan,2024-05-30 16:00,40,Good,8.0,8.0,4.2,33.3,0.13,17.0,1.1,0.8
45,Annan,2024-05-30 16:00,38,Good,10.0,10.0,7.2,29.7,0.17,18.0,4.1,1.1
44,Shanhua,2024-05-30 16:00,35,Good,12.0,12.0,3.7,31.5,0.1,20.0,2.0,0.4
43,Xinying,2024-05-30 16:00,42,Good,2.0,2.0,4.8,29.1,0.17,14.0,1.0,0.3
