siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5,no,so2
71,Fuxing,2024-05-31 09:00,17,Good,18.1,10.9,4,4.9,1.9
70,Yonghe,2024-05-31 09:00,42,Good,13.3,25.3,13,30.5,1.4
69,Zhushan,2024-05-31 09:00,32,Good,14.5,4.2,12,3.6,1
68,Zhongli,2024-05-31 09:00,47,Good,10.8,20.9,9,30.8,1.7
67,Sanchong,2024-05-31 09:00,51,Moderate,18.1,31.4,10,44.4,0.8
66,Dongshan,2024-05-31 09:00,25,Good,21.8,10.1,8,5.9,1.3
65,Yilan,2024-05-31 09:00,17,Good,23.6,3.6,2,1.9,1.5
64,Yangming,2024-05-31 09:00,26,Good,30.8,1.2,3,0.9,0.6
63,Hualien,2024-05-31 09:00,19,Good,16.3,6.7,6,5.6,0.4
62,Taitung,2024-05-31 09:00,23,Good,17.9,4.7,2,3.3,0.6
61,Hengchun,2024-05-31 09:00,24,Good,26.7,0.4,4,0.5,0.1
60,Chaozhou,2024-05-31 09:00,19,Good,26.2,0.7,2,1.7,0.6
59,Pingtung,2024-05-31 09:00,22,Good,19.4,8.9,4,4.6,0.9
58,Xiaogang,2024-05-31 09:00,52,Moderate,19.3,10.6,11,4.8,6.6
57,Qianzhen,2024-05-31 09:00,23,Good,16.6,14.8,6,10,2.5
56,Qianjin,2024-05-31 09:00,18,Good,20.9,11.3,5,4.8,1.5
54,Zuoying,2024-05-31 09:00,26,Good,18.1,13.1,8,7.4,3
53,Nanzi,2024-05-31 09:00,23,Good,15.1,14.9,10,8.6,3.7
52,Linyuan,2024-05-31 09:00,29,Good,25.3,3.6,4,0.5,1.1
51,Daliao,2024-05-31 09:00,16,Good,22.3,3.5,4,1.7,0.5
50,Fengshan,2024-05-31 09:00,15,Good,20.1,8.3,4,3.6,2.1
49,Renwu,2024-05-31 09:00,19,Good,21.3,9.1,4,4,2.1
48,Qiaotou,2024-05-31 09:00,17,Good,18.8,10.1,5,5.4,1.2
47,Meinong,2024-05-31 09:00,17,Good,16.5,2,1,1.3,0
46,Tainan,2024-05-31 09:00,18,Good,19.8,7.4,9,3.9,0.5
45,Annan,2024-05-31 09:00,18,Good,21.4,9.1,5,4.4,0.4
44,Shanhua,2024-05-31 09:00,18,Good,19.8,2.9,5,1.7,0.3
43,Xinying,2024-05-31 09:00,19,Good,22.6,4.7,0,1.9,0.8
42,Chiayi,2024-05-31 09:00,20,Good,27.7,3.8,2,2.2,1.1
41,Taixi,2024-05-31 09:00,19,Good,27,2.9,1,1.3,1.3
40,Puzi,2024-05-31 09:00,17,Good,22,5.9,,3.7,1.3
39,Xingang,2024-05-31 09:00,19,Good,,4.2,4,1.9,1.8
38,Lunbei,2024-05-31 09:00,17,Good,25.2,2.4,2,0.7,0.4
37,Douliu,2024-05-31 09:00,21,Good,28.4,2.9,5,2.2,1.1
36,Nantou,2024-05-31 09:00,30,Good,19.6,4.2,8,2.1,0.2
35,Erlin,2024-05-31 09:00,32,Good,27.8,,6,,1.5
34,Xianxi,2024-05-31 09:00,23,Good,27.6,3.3,4,3,0.4
33,Changhua,2024-05-31 09:00,15,Good,29.4,3.3,2,1.6,0.3
32,Xitun,2024-05-31 09:00,25,Good,22.6,8.8,6,6.1,0.8
31,Zhongming,2024-05-31 09:00,20,Good,23.9,9.2,3,4,1.6
30,Dali,2024-05-31 09:00,21,Good,15.7,9.7,6,6.5,1.6
29,Shalu,2024-05-31 09:00,17,Good,28.8,4.3,5,2.4,0.7
28,Fengyuan,2024-05-31 09:00,18,Good,30.3,2.2,2,2.1,1.2
27,Sanyi,2024-05-31 09:00,19,Good,27,0.6,2,1.4,0.8
26,Miaoli,2024-05-31 09:00,29,Good,27.8,3,2,1.8,0.7
25,Toufen,2024-05-31 09:00,28,Good,26.5,4,4,3.2,1.1
24,Hsinchu,2024-05-31 09:00,31,Good,20.9,9.4,5,4.3,1.1
23,Zhudong,2024-05-31 09:00,36,Good,20.9,3.1,8,1.7,0.9
22,Hukou,2024-05-31 09:00,50,Good,22.2,8.9,16,5.8,1.2
21,Longtan,2024-05-31 09:00,38,Good,24.2,8.1,6,3.1,0.5
20,Pingzhen,2024-05-31 09:00,41,Good,24.7,6.4,8,2.1,0.3
19,Guanyin,2024-05-31 09:00,47,Good,26,9,15,4.4,0.6
18,Dayuan,2024-05-31 09:00,40,Good,27.1,8,7,2.2,1.2
17,Taoyuan,2024-05-31 09:00,53,Moderate,25.9,8.8,12,4.9,1.1
16,Datong,2024-05-31 09:00,48,Good,12.6,29.3,17,49.5,1.4
15,Songshan,2024-05-31 09:00,44,Good,34,13.3,12,4.5,
14,Guting,2024-05-31 09:00,31,Good,30.8,9,10,3.6,
13,Wanhua,2024-05-31 09:00,36,Good,26.9,15.6,12,5.1,0.4
12,Zhongshan,2024-05-31 09:00,30,Good,26,15.7,11,6.6,0.6
11,Shilin,2024-05-31 09:00,41,Good,35.9,12.9,12,3.5,1.1
10,Tamsui,2024-05-31 09:00,42,Good,,13.8,13,3.5,1.6
9,Linkou,2024-05-31 09:00,38,Good,29.4,,6,,0.7
8,Cailiao,2024-05-31 09:00,32,Good,34,13.1,11,3.4,0.8
7,Xinzhuang,2024-05-31 09:00,65,Moderate,43.9,20.5,23,2.9,1
6,Banqiao,2024-05-31 09:00,49,Good,40,21.6,18,5.4,0.9
5,Tucheng,2024-05-31 09:00,64,Moderate,37.1,17.3,23,4.2,0.9
4,Xindian,2024-05-31 09:00,39,Good,37.1,9.3,13,3,1.5
3,Wanli,2024-05-31 09:00,26,Good,20.2,15.9,16,9,1.9
2,Xizhi,2024-05-31 09:00,44,Good,31.5,16.7,15,6.3,1.6
1,Keelung,2024-05-31 09:00,31,Good,38.4,11.2,9,3.1,1.6
313,Pingtung（fangshan）,2024-05-31 08:00,19,Good,21.6,1.6,0,0.9,0.2
312,Taichung（Rilana Elementary）,2024-05-31 08:00,16,Good,15.7,5.5,2,3.1,0.2
311,New Taipei(Shulin),2024-05-31 08:00,53,Moderate,10.1,14.2,11,7.3,0.7
204,Pingtung（Liuqiu）,2024-05-31 08:00,19,Good,18.3,1.8,6,1.4,0.4
203,Tainan（Madou）,2024-05-31 08:00,17,Good,10.8,10.2,9,7,1.3
202,Kaohsiung（Hunei）,2024-05-31 08:00,13,Good,11.1,8.9,1,4.2,2
201,Changhua（Yuanlin）,2024-05-31 08:00,26,Good,21,5.1,3,3.1,1.6
85,Dacheng,2024-05-31 08:00,17,Good,23.5,2.8,0,1.5,1.2
84,FugueiCape,2024-05-31 08:00,35,Good,21.3,7.4,16,3.7,0.7
83,Mailiao,2024-05-31 08:00,18,Good,21.8,5.9,3,4.5,1.1
80,Guanshan,2024-05-31 08:00,25,Good,10.4,1.5,2,2.3,0.4
78,Magong,2024-05-31 08:00,23,Good,23.8,5.2,6,1.9,0.6
77,Kinmen,2024-05-31 08:00,84,Moderate,10.6,23.4,30,9.1,4.7
75,Matsu,2024-05-31 08:00,52,Moderate,35.4,4.4,16,1.3,1.2
72,Puli,2024-05-31 08:00,26,Good,8.8,2.3,7,4.3,0.8
