siteid,sitename,datacreationdate,aqi,status,o3,no2,pm2.5,no,so2
11,Shilin,2024-05-31 03:00,39,Good,9,11.1,11,0.4,0.8
10,Tamsui,2024-05-31 03:00,36,Good,7.1,14.7,12,1,1.6
9,Linkou,2024-05-31 03:00,33,Good,14.3,19.9,14,7.6,1.4
8,Cailiao,2024-05-31 03:00,37,Good,2.5,19.1,11,1.8,0.8
7,Xinzhuang,2024-05-31 03:00,53,Moderate,7.8,16.2,20,0.4,0.8
6,Banqiao,2024-05-31 03:00,40,Good,4.6,18.4,10,0.9,0.7
5,Tucheng,2024-05-31 03:00,55,Moderate,3.8,14.7,12,1.8,0.1
4,Xindian,2024-05-31 03:00,37,Good,9.2,2.7,14,1.1,1.1
3,Wanli,2024-05-31 03:00,24,Good,4.3,6.7,7,0.8,0.3
2,Xizhi,2024-05-31 03:00,43,Good,1.6,15.5,16,9,0.8
1,Keelung,2024-05-31 03:00,23,Good,2.1,11.3,11,2,0.5
313,Pingtung（fangshan）,2024-05-31 02:00,25,Good,26.2,1.4,0,0,0
312,Taichung（Rilana Elementary）,2024-05-31 02:00,26,Good,9.7,10.6,6,0.8,0.1
311,New Taipei(Shulin),2024-05-31 02:00,52,Moderate,3.4,11.3,19,4.4,0.4
204,Pingtung（Liuqiu）,2024-05-31 02:00,25,Good,26.1,0.6,8,1.3,0.4
203,Tainan（Madou）,2024-05-31 02:00,18,Good,22.4,3.8,6,0.2,0.4
202,Kaohsiung（Hunei）,2024-05-31 02:00,16,Good,16.3,6.4,6,1,
201,Changhua（Yuanlin）,2024-05-31 02:00,40,Good,15.3,6.8,10,1,1.7
85,Dacheng,2024-05-31 02:00,18,Good,15,5.6,5,0.3,1.3
84,FugueiCape,2024-05-31 02:00,28,Good,21.2,9.5,7,0.2,0.6
83,Mailiao,2024-05-31 02:00,22,Good,18,5.6,7,0.4,1.3
80,Guanshan,2024-05-31 02:00,21,Good,4.4,1.7,3,1.9,0.1
78,Magong,2024-05-31 02:00,27,Good,30.7,2.1,1,0.5,0.5
77,Kinmen,2024-05-31 02:00,78,Moderate,4.9,25.7,26,1.6,1.2
75,Matsu,2024-05-31 02:00,38,Good,25.7,15.6,9,1.1,1.5
72,Puli,2024-05-31 02:00,33,Good,7.1,3.1,8,1.6,0.9
71,Fuxing,2024-05-31 02:00,18,Good,21.3,5.6,3,0.8,3.7
70,Yonghe,2024-05-31 02:00,59,Moderate,7.6,5.4,12,1.3,0.7
69,Zhushan,2024-05-31 02:00,24,Good,3.6,5.7,3,1,0.7
68,Zhongli,2024-05-31 02:00,51,Moderate,8.8,26.1,19,4,2.2
67,Sanchong,2024-05-31 02:00,39,Good,2.5,17,11,4.8,0.7
66,Dongshan,2024-05-31 02:00,24,Good,6.9,4,7,0.8,0.3
65,Yilan,2024-05-31 02:00,19,Good,8.8,2.8,6,0.5,1.6
64,Yangming,2024-05-31 02:00,25,Good,29.9,3.2,8,0.8,0.7
63,Hualien,2024-05-31 02:00,22,Good,17,1.1,6,0.8,0.3
62,Taitung,2024-05-31 02:00,17,Good,8.5,4.4,1,1.6,0.6
61,Hengchun,2024-05-31 02:00,25,Good,24.7,1,3,0.3,0.1
60,Chaozhou,2024-05-31 02:00,18,Good,16.4,1.4,0,1.8,0.5
59,Pingtung,2024-05-31 02:00,21,Good,22.4,3.1,1,0.5,0.5
58,Xiaogang,2024-05-31 02:00,33,Good,20.5,6.2,4,0.6,1
57,Qianzhen,2024-05-31 02:00,16,Good,20,6.9,0,0.8,4.8
56,Qianjin,2024-05-31 02:00,18,Good,19.5,6.3,2,0.4,1.8
54,Zuoying,2024-05-31 02:00,29,Good,18,7.1,6,0.5,1.7
53,Nanzi,2024-05-31 02:00,22,Good,14.4,13.4,3,0.9,4.4
52,Linyuan,2024-05-31 02:00,27,Good,22.3,1.8,5,0,0.8
51,Daliao,2024-05-31 02:00,23,Good,19.9,2.4,5,0.2,0.4
50,Fengshan,2024-05-31 02:00,21,Good,23.9,1.7,0,0.1,0.5
49,Renwu,2024-05-31 02:00,24,Good,23.4,3.5,4,0,1.8
48,Qiaotou,2024-05-31 02:00,18,Good,18.2,6.6,3,0.9,1.6
47,Meinong,2024-05-31 02:00,18,Good,23.1,1.5,0,0.5,0
46,Tainan,2024-05-31 02:00,28,Good,18.8,7.6,9,0.7,1.4
45,Annan,2024-05-31 02:00,25,Good,18.9,8,6,0.7,1.1
44,Shanhua,2024-05-31 02:00,26,Good,22.3,1.5,6,0.5,0.3
43,Xinying,2024-05-31 02:00,20,Good,18.7,3.4,3,1.2,0.8
42,Chiayi,2024-05-31 02:00,20,Good,20.4,2.2,3,0.7,1.1
41,Taixi,2024-05-31 02:00,21,Good,20.6,4.1,3,0.3,1
40,Puzi,2024-05-31 02:00,19,Good,16.8,5.5,,1.3,1.4
39,Xingang,2024-05-31 02:00,25,Good,22.1,2.4,5,1.3,1
38,Lunbei,2024-05-31 02:00,22,Good,15,3.1,4,0.1,0.4
37,Douliu,2024-05-31 02:00,23,Good,6,11.3,5,1.7,1.1
36,Nantou,2024-05-31 02:00,27,Good,3.2,7,5,0.1,0.1
35,Erlin,2024-05-31 02:00,45,Good,4.5,10.8,15,0.6,1.5
34,Xianxi,2024-05-31 02:00,32,Good,6.6,9,11,1.7,0.2
33,Changhua,2024-05-31 02:00,27,Good,20.3,5,3,0.4,0.6
32,Xitun,2024-05-31 02:00,31,Good,8.7,8.1,6,1.3,0.7
31,Zhongming,2024-05-31 02:00,26,Good,11.4,5.2,7,0.6,1.4
30,Dali,2024-05-31 02:00,36,Good,10.1,5,7,0,1.1
29,Shalu,2024-05-31 02:00,28,Good,15.6,9.3,5,1,0.9
28,Fengyuan,2024-05-31 02:00,22,Good,19.3,4.2,3,0.6,0.9
27,Sanyi,2024-05-31 02:00,26,Good,18,2.9,6,0.7,0.6
26,Miaoli,2024-05-31 02:00,46,Good,5.2,10.8,16,1.8,0.9
25,Toufen,2024-05-31 02:00,38,Good,9.4,5.9,11,1.1,0.6
24,Hsinchu,2024-05-31 02:00,34,Good,18.9,12.7,11,0.9,0.6
23,Zhudong,2024-05-31 02:00,54,Moderate,8.3,4.5,16,0.8,0.7
22,Hukou,2024-05-31 02:00,49,Good,12,16.8,14,3.1,0.2
21,Longtan,2024-05-31 02:00,59,Moderate,0.1,22.4,20,9.1,0.3
20,Pingzhen,2024-05-31 02:00,41,Good,15.5,20.6,16,0.3,1
19,Guanyin,2024-05-31 02:00,31,Good,18.4,7.6,11,1.9,0.8
18,Dayuan,2024-05-31 02:00,46,Good,16.2,10.1,21,0,1.2
17,Taoyuan,2024-05-31 02:00,45,Good,14.4,18.2,18,0.6,2.2
16,Datong,2024-05-31 02:00,40,Good,2.3,18.1,14,12,1
15,Songshan,2024-05-31 02:00,46,Good,9.7,12,15,0.9,0.3
14,Guting,2024-05-31 02:00,25,Good,8.6,4.8,5,1.1,
13,Wanhua,2024-05-31 02:00,35,Good,6.6,12.8,9,2.6,0.2
12,Zhongshan,2024-05-31 02:00,34,Good,6.6,11,11,0.9,0.4
11,Shilin,2024-05-31 02:00,39,Good,8.9,14.5,15,0.4,1
10,Tamsui,2024-05-31 02:00,36,Good,8.7,15.8,11,0.7,1.4
9,Linkou,2024-05-31 02:00,31,Good,14.3,,12,,2
8,Cailiao,2024-05-31 02:00,36,Good,2.1,17.9,12,1.4,1
7,Xinzhuang,2024-05-31 02:00,50,Good,8.8,17.1,15,0.9,1.2
6,Banqiao,2024-05-31 02:00,42,Good,2.8,20.9,14,1.5,0.6
5,Tucheng,2024-05-31 02:00,57,Moderate,1.9,18.6,16,4,0.3
4,Xindian,2024-05-31 02:00,35,Good,9.9,3.9,9,1.3,1.1
3,Wanli,2024-05-31 02:00,26,Good,6.3,10.9,6,0.8,0.4
2,Xizhi,2024-05-31 02:00,43,Good,0.6,16,11,13.2,1.2
1,Keelung,2024-05-31 02:00,22,Good,1.8,13.6,4,2.2,0.6
313,Pingtung（fangshan）,2024-05-31 01:00,26,Good,29.2,1.8,2,0,0
312,Taichung（Rilana Elementary）,2024-05-31 01:00,28,Good,19.7,8.8,6,2.1,0.3
311,New Taipei(Shulin),2024-05-31 01:00,51,Moderate,8.8,7.9,12,0.6,0.8
204,Pingtung（Liuqiu）,2024-05-31 01:00,26,Good,24.2,0.9,5,1.2,0.6
203,Tainan（Madou）,2024-05-31 01:00,19,Good,18.2,4.6,4,0.9,0.5
202,Kaohsiung（Hunei）,2024-05-31 01:00,15,Good,15.6,8.3,4,1.1,1.1
201,Changhua（Yuanlin）,2024-05-31 01:00,44,Good,14.4,7.9,12,0.5,1.6
85,Dacheng,2024-05-31 01:00,20,Good,12.3,6,5,0.1,0.9
84,FugueiCape,2024-05-31 01:00,30,Good,28.8,5.4,5,0.1,0.5
83,Mailiao,2024-05-31 01:00,22,Good,17,6.1,5,0.3,1.5
80,Guanshan,2024-05-31 01:00,18,Good,6,1.7,2,0.2,0.4
78,Magong,2024-05-31 01:00,27,Good,29.7,2.6,1,1,1
77,Kinmen,2024-05-31 01:00,76,Moderate,2.8,25.9,30,1.6,1.6
75,Matsu,2024-05-31 01:00,39,Good,28.6,14.9,12,0.8,1.3
72,Puli,2024-05-31 01:00,35,Good,8.9,3.8,10,1.4,0.9
71,Fuxing,2024-05-31 01:00,20,Good,14.3,12.2,5,1.8,1.4
70,Yonghe,2024-05-31 01:00,59,Moderate,6.5,10.1,16,1.7,0.9
69,Zhushan,2024-05-31 01:00,30,Good,5.1,4.3,5,0.6,0.8
68,Zhongli,2024-05-31 01:00,46,Good,12.4,22.9,13,4.5,1.7
67,Sanchong,2024-05-31 01:00,50,Good,2.6,30.3,16,25.4,1.1
66,Dongshan,2024-05-31 01:00,24,Good,8.9,3.7,12,0.6,0.6
65,Yilan,2024-05-31 01:00,23,Good,8,2.7,9,0.4,0.4
64,Yangming,2024-05-31 01:00,25,Good,29.9,2.3,11,0.5,0.7
63,Hualien,2024-05-31 01:00,25,Good,15.4,1.7,7,0.2,0.3
62,Taitung,2024-05-31 01:00,19,Good,9.7,1.9,1,1.6,0
61,Hengchun,2024-05-31 01:00,27,Good,27.6,0.8,1,0.5,0.3
60,Chaozhou,2024-05-31 01:00,19,Good,22.3,0.7,0,0.2,0.5
59,Pingtung,2024-05-31 01:00,21,Good,24.8,2.5,4,0.4,0.4
58,Xiaogang,2024-05-31 01:00,40,Good,13.3,20.1,24,4.8,16.6
57,Qianzhen,2024-05-31 01:00,18,Good,14.9,11.4,3,1.3,1.7
56,Qianjin,2024-05-31 01:00,19,Good,17.8,9.5,2,0,1
54,Zuoying,2024-05-31 01:00,31,Good,17.7,7.7,8,0,1.6
53,Nanzi,2024-05-31 01:00,19,Good,17.4,11.2,4,0.6,1.1
52,Linyuan,2024-05-31 01:00,29,Good,26.9,0.8,0,0.7,0.6
51,Daliao,2024-05-31 01:00,24,Good,23.5,1.8,4,0.2,0.3
50,Fengshan,2024-05-31 01:00,21,Good,21.4,5.1,3,0.6,0.7
49,Renwu,2024-05-31 01:00,24,Good,22.9,7.1,5,0.8,3.3
48,Qiaotou,2024-05-31 01:00,19,Good,16.5,9.9,6,0.3,1.7
47,Meinong,2024-05-31 01:00,19,Good,19.2,2.3,4,1.2,0.5
46,Tainan,2024-05-31 01:00,28,Good,15.5,11.3,7,0.5,2.3
45,Annan,2024-05-31 01:00,26,Good,16.7,11.6,6,1.7,2.4
44,Shanhua,2024-05-31 01:00,27,Good,17.9,2.8,9,1.2,0.2
43,Xinying,2024-05-31 01:00,22,Good,20.6,3.1,2,0.4,0
42,Chiayi,2024-05-31 01:00,22,Good,13.8,5.7,4,1.2,1.3
41,Taixi,2024-05-31 01:00,21,Good,18.4,4.9,3,0.9,1.6
40,Puzi,2024-05-31 01:00,19,Good,16.4,5.9,,1.3,1.4
39,Xingang,2024-05-31 01:00,27,Good,19.5,3.5,7,1.5,0.2
38,Lunbei,2024-05-31 01:00,26,Good,13.8,2.7,4,1.5,0.8
37,Douliu,2024-05-31 01:00,25,Good,9.4,2.7,5,1.1,0.9
36,Nantou,2024-05-31 01:00,26,Good,5.3,5.5,5,0.8,0.2
35,Erlin,2024-05-31 01:00,47,Good,8.8,8.3,10,0.8,0.4
34,Xianxi,2024-05-31 01:00,35,Good,14.4,4.1,5,1.2,0.4
33,Changhua,2024-05-31 01:00,33,Good,15.9,8.7,6,1.6,0.9
32,Xitun,2024-05-31 01:00,34,Good,7.7,9.8,10,1.2,0.8
31,Zhongming,2024-05-31 01:00,27,Good,11.8,6.6,6,1,0.7
30,Dali,2024-05-31 01:00,39,Good,8.4,7,9,0.6,1.2
29,Shalu,2024-05-31 01:00,33,Good,16.6,8.5,8,0,0.9
28,Fengyuan,2024-05-31 01:00,24,Good,18.3,4.9,6,0.8,0
27,Sanyi,2024-05-31 01:00,29,Good,17.6,2.1,6,0.9,0.5
26,Miaoli,2024-05-31 01:00,44,Good,7.9,13,13,1.5,1.2
25,Toufen,2024-05-31 01:00,40,Good,11.7,8.6,12,1.4,1.3
24,Hsinchu,2024-05-31 01:00,33,Good,25.6,10.8,12,0.9,2
23,Zhudong,2024-05-31 01:00,53,Moderate,7.7,5.5,19,0.5,0.2
22,Hukou,2024-05-31 01:00,50,Good,21.5,7.8,13,0.6,0.5
21,Longtan,2024-05-31 01:00,57,Moderate,0.5,24.2,21,5.1,0.9
20,Pingzhen,2024-05-31 01:00,40,Good,14.4,24.2,12,0,0.8
19,Guanyin,2024-05-31 01:00,30,Good,31.9,4.9,7,0.2,0.8
18,Dayuan,2024-05-31 01:00,41,Good,22.6,11.2,11,1.2,1.4
17,Taoyuan,2024-05-31 01:00,43,Good,22.3,12,11,0.5,1.4
16,Datong,2024-05-31 01:00,37,Good,3.9,16.3,10,10.1,0.8
15,Songshan,2024-05-31 01:00,46,Good,4.5,21.2,12,4.9,0.5
14,Guting,2024-05-31 01:00,27,Good,8.3,6.7,8,1.2,1.9
13,Wanhua,2024-05-31 01:00,39,Good,8.1,10.9,9,1.3,0.3
12,Zhongshan,2024-05-31 01:00,33,Good,8.2,13.3,11,1.1,0.6
11,Shilin,2024-05-31 01:00,38,Good,4.4,23.4,12,1.4,0.6
10,Tamsui,2024-05-31 01:00,36,Good,11.8,11.5,10,1.2,0.9
9,Linkou,2024-05-31 01:00,30,Good,18.9,,9,,3.1
8,Cailiao,2024-05-31 01:00,33,Good,7.8,18.3,13,1.4,1
7,Xinzhuang,2024-05-31 01:00,50,Good,8.7,20.4,22,1.1,0.9
6,Banqiao,2024-05-31 01:00,42,Good,2.9,25,13,2.7,0.9
5,Tucheng,2024-05-31 01:00,59,Moderate,4,20.4,19,2.6,0.2
4,Xindian,2024-05-31 01:00,36,Good,8.6,5,12,1.3,0.8
3,Wanli,2024-05-31 01:00,28,Good,6.8,6.1,9,1.1,0
2,Xizhi,2024-05-31 01:00,44,Good,0.4,18.7,13,14.9,1.7
1,Keelung,2024-05-31 01:00,28,Good,0.7,17.5,7,10.6,1
313,Pingtung（fangshan）,2024-05-31 00:00,27,Good,31.2,1,3,0,0
312,Taichung（Rilana Elementary）,2024-05-31 00:00,31,Good,21.5,8.6,7,2.2,0.1
311,New Taipei(Shulin),2024-05-31 00:00,54,Moderate,4.6,13.1,16,2,0.9
204,Pingtung（Liuqiu）,2024-05-31 00:00,26,Good,25.8,0.7,6,1.1,0.5
203,Tainan（Madou）,2024-05-31 00:00,22,Good,15.4,13,3,0.8,0.5
202,Kaohsiung（Hunei）,2024-05-31 00:00,17,Good,14.4,8.5,6,1.3,1.1
201,Changhua（Yuanlin）,2024-05-31 00:00,44,Good,14.7,9.2,11,0.5,1.8
85,Dacheng,2024-05-31 00:00,25,Good,13.7,5.8,6,0,0.8
84,FugueiCape,2024-05-31 00:00,31,Good,27.1,5.5,8,0.1,0.5
83,Mailiao,2024-05-31 00:00,24,Good,15.6,7.4,7,0.7,1.4
80,Guanshan,2024-05-31 00:00,15,Good,6.5,1.9,2,0.4,0.4
78,Magong,2024-05-31 00:00,27,Good,29.2,3.8,1,1,1.1
77,Kinmen,2024-05-31 00:00,73,Moderate,9.8,19.3,25,1,1.8
75,Matsu,2024-05-31 00:00,39,Good,24.1,16,11,0.8,1.3
72,Puli,2024-05-31 00:00,36,Good,7.1,5.6,8,1.6,0.9
71,Fuxing,2024-05-31 00:00,19,Good,20.1,8.3,0,1.5,0.7
70,Yonghe,2024-05-31 00:00,58,Moderate,8.2,8.8,48,3.2,0.7
69,Zhushan,2024-05-31 00:00,36,Good,5.2,4.6,6,0.7,0.7
68,Zhongli,2024-05-31 00:00,47,Good,13.6,22.8,16,4.7,1.8
67,Sanchong,2024-05-31 00:00,43,Good,2.2,26.6,11,30.9,0.8
66,Dongshan,2024-05-31 00:00,24,Good,12.2,2.7,6,0.6,0.3
65,Yilan,2024-05-31 00:00,27,Good,11.6,3,4,0.5,0.5
64,Yangming,2024-05-31 00:00,25,Good,34.1,2.3,7,0.6,0.8
63,Hualien,2024-05-31 00:00,26,Good,17.2,2.2,4,0.4,0.4
62,Taitung,2024-05-31 00:00,20,Good,14.4,1.8,3,1.8,0
61,Hengchun,2024-05-31 00:00,28,Good,28.4,0.9,3,0.5,0.6
60,Chaozhou,2024-05-31 00:00,20,Good,21.3,2.6,3,0.2,0.6
59,Pingtung,2024-05-31 00:00,22,Good,22.7,4.4,4,0.5,0.5
58,Xiaogang,2024-05-31 00:00,26,Good,20.5,8.1,7,0.8,8.3
57,Qianzhen,2024-05-31 00:00,17,Good,20,9.9,5,2.1,0.9
56,Qianjin,2024-05-31 00:00,19,Good,20.4,9.7,0,0,1.3
54,Zuoying,2024-05-31 00:00,31,Good,20.8,9.1,12,0,1.9
53,Nanzi,2024-05-31 00:00,25,Good,14.9,15.8,6,0.7,1.6
52,Linyuan,2024-05-31 00:00,30,Good,30.3,0.7,1,0.6,0.6
51,Daliao,2024-05-31 00:00,25,Good,26.2,1.8,3,0.2,0.3
50,Fengshan,2024-05-31 00:00,22,Good,23.5,5.9,4,0.4,0.9
49,Renwu,2024-05-31 00:00,26,Good,20.9,9.5,8,0.7,1.7
48,Qiaotou,2024-05-31 00:00,19,Good,17.3,10.9,7,0.1,0.9
47,Meinong,2024-05-31 00:00,20,Good,11.8,2.7,8,1.3,0.7
46,Tainan,2024-05-31 00:00,29,Good,15,12,10,0.5,1.6
45,Annan,2024-05-31 00:00,30,Good,15.5,12.8,5,1.8,1.8
44,Shanhua,2024-05-31 00:00,27,Good,17.4,2.8,11,1.2,0.2
43,Xinying,2024-05-31 00:00,24,Good,19.5,3.5,0,0.5,0
42,Chiayi,2024-05-31 00:00,24,Good,14.6,6.1,4,1,1.5
41,Taixi,2024-05-31 00:00,23,Good,16.3,5.9,3,1,1.5
40,Puzi,2024-05-31 00:00,21,Good,18.1,5.4,,1.4,1.2
39,Xingang,2024-05-31 00:00,29,Good,19.9,3.8,6,1.5,0.4
38,Lunbei,2024-05-31 00:00,31,Good,14.3,5.3,7,3.6,1
37,Douliu,2024-05-31 00:00,28,Good,10.9,3,7,1.3,1
36,Nantou,2024-05-31 00:00,25,Good,7,5.7,7,0.6,0.2
35,Erlin,2024-05-31 00:00,51,Moderate,13.2,8.6,11,0.5,0.7
34,Xianxi,2024-05-31 00:00,38,Good,20,3.7,4,1.1,0.6
33,Changhua,2024-05-31 00:00,36,Good,12.4,11.1,9,1.3,1
32,Xitun,2024-05-31 00:00,35,Good,5.5,16,11,1.4,1
31,Zhongming,2024-05-31 00:00,27,Good,12,9.3,8,1,0.9
30,Dali,2024-05-31 00:00,40,Good,9.7,8.2,12,0.8,1.2
29,Shalu,2024-05-31 00:00,35,Good,22.6,8,5,0,0.8
28,Fengyuan,2024-05-31 00:00,27,Good,21.4,4.6,5,0.8,0.4
27,Sanyi,2024-05-31 00:00,32,Good,23.7,1.5,7,0.9,0.5
26,Miaoli,2024-05-31 00:00,43,Good,25.8,6.8,17,1,1.4
25,Toufen,2024-05-31 00:00,39,Good,22.4,7.2,14,1.3,1.5
24,Hsinchu,2024-05-31 00:00,35,Good,31.6,9.6,13,0.8,1.2
23,Zhudong,2024-05-31 00:00,54,Moderate,8.6,6.3,17,0.8,0.4
22,Hukou,2024-05-31 00:00,53,Moderate,13.1,15.8,19,0.8,0.6
21,Longtan,2024-05-31 00:00,56,Moderate,7.5,19.3,19,0.8,1
20,Pingzhen,2024-05-31 00:00,40,Good,13.8,24,13,0.4,0.8
19,Guanyin,2024-05-31 00:00,30,Good,30.9,6.9,10,0.1,1
18,Dayuan,2024-05-31 00:00,41,Good,23.2,13.5,19,0.8,3
17,Taoyuan,2024-05-31 00:00,44,Good,32.5,8.9,13,0.3,1.3
16,Datong,2024-05-31 00:00,37,Good,1.8,20,12,33.6,1.2
15,Songshan,2024-05-31 00:00,48,Good,2.9,25.7,15,13.6,0.8
14,Guting,2024-05-31 00:00,28,Good,7.9,10.4,9,1.7,0.4
13,Wanhua,2024-05-31 00:00,39,Good,7.6,14.5,10,2.9,0.4
12,Zhongshan,2024-05-31 00:00,32,Good,5.3,16.6,9,2.4,0.6
11,Shilin,2024-05-31 00:00,38,Good,3,23,14,1.7,0.5
10,Tamsui,2024-05-31 00:00,37,Good,24,9.9,12,1,1.3
9,Linkou,2024-05-31 00:00,31,Good,27.3,14.6,11,0.3,2.6
8,Cailiao,2024-05-31 00:00,43,Good,3.4,26,15,3.6,1
7,Xinzhuang,2024-05-31 00:00,45,Good,13.1,19.4,17,0.1,0.9
6,Banqiao,2024-05-31 00:00,50,Good,1.7,30,13,3,1
5,Tucheng,2024-05-31 00:00,58,Moderate,4.2,21.7,21,2.8,0.3
4,Xindian,2024-05-31 00:00,36,Good,10.6,6.3,13,1.2,0.9
3,Wanli,2024-05-31 00:00,28,Good,4.5,6.7,6,2.1,0
2,Xizhi,2024-05-31 00:00,42,Good,0.5,19.8,13,11.3,1.5
1,Keelung,2024-05-31 00:00,27,Good,0.4,16.7,8,9.2,1
